t,value
1434187606,536870912
1434187608,536870912
1434187610,536870912
1434187612,536870912
1434187614,536870912
1434187616,536870912
1434187618,536870912
1434187620,536870912
1434187622,536870912
1434187624,536870912
1434187626,536870912
1434187628,536870912
1434187630,536870912
1434187632,536870912
1434187634,536870912
1434187636,536870912
1434187638,536870912
1434187640,536870912
1434187642,536870912
1434187644,536870912
1434187646,536870912
1434187648,536870912
1434187650,536870912
1434187652,536870912
1434187654,536870912
1434187656,536870912
1434187658,536870912
1434187660,536870912
1434187662,536870912
1434187664,536870912
1434187666,536870912
1434187668,536870912
1434187670,536870912
1434187672,536870912
1434187674,536870912
1434187676,536870912
1434187678,536870912
1434187680,536870912
1434187682,536870912
1434187684,536870912
1434187686,536870912
1434187688,536870912
1434187690,536870912
1434187692,536870912
1434187694,536870912
1434187696,536870912
1434187698,536870912
1434187700,536870912
1434187702,536870912
1434187704,536870912
1434187706,536870912
1434187708,536870912
1434187710,536870912
1434187712,536870912
1434187714,536870912
1434187716,536870912
1434187718,536870912
1434187720,536870912
1434187722,536870912
1434187724,536870912
1434187726,536870912
1434187728,536870912
1434187730,536870912
1434187732,536870912
1434187734,536870912
1434187736,536870912
1434187738,536870912
1434187740,536870912
1434187742,536870912
1434187744,536870912
1434187746,536870912
1434187748,536870912
1434187750,536870912
1434187752,536870912
1434187754,536870912
1434187756,536870912
1434187758,536870912
1434187760,536870912
1434187762,536870912
1434187764,536870912
1434187766,536870912
1434187768,536870912
1434187770,536870912
1434187772,536870912
1434187774,536870912
1434187776,536870912
1434187778,536870912
1434187780,536870912
1434187782,536870912
1434187784,536870912
1434187786,536870912
1434187788,536870912
1434187790,536870912
1434187792,536870912
1434187794,536870912
1434187796,536870912
1434187798,536870912
1434187800,536870912
1434187802,536870912
1434187804,536870912
1434187806,536870912
1434187808,536870912
1434187810,536870912
1434187812,536870912
1434187814,536870912
1434187816,536870912
1434187818,536870912
1434187820,536870912
1434187822,536870912
1434187824,536870912
1434187826,536870912
1434187828,536870912
1434187830,536870912
1434187832,536870912
1434187834,536870912
1434187836,536870912
1434187838,536870912
1434187840,536870912
1434187842,536870912
1434187844,536870912
1434187846,536870912
1434187848,536870912
1434187850,536870912
1434187852,536870912
1434187854,536870912
1434187856,536870912
1434187858,536870912
1434187860,536870912
1434187862,536870912
1434187864,536870912
1434187866,536870912
1434187868,536870912
1434187870,536870912
1434187872,536870912
1434187874,536870912
1434187876,536870912
1434187878,536870912
1434187880,536870912
1434187882,536870912
1434187884,536870912
1434187886,536870912
1434187888,536870912
1434187890,536870912
1434187892,536870912
1434187894,536870912
1434187896,536870912
1434187898,536870912
1434187900,536870912
1434187902,536870912
1434187904,536870912
1434187906,536870912
1434187908,536870912
1434187910,536870912
1434187912,536870912
1434187914,536870912
1434187916,536870912
1434187918,536870912
1434187920,536870912
1434187922,536870912
1434187924,536870912
1434187926,536870912
1434187928,536870912
1434187930,536870912
1434187932,536870912
1434187934,536870912
1434187936,536870912
1434187938,536870912
1434187940,536870912
1434187942,536870912
1434187944,536870912
1434187946,536870912
1434187948,536870912
1434187950,536870912
1434187952,536870912
1434187954,536870912
1434187956,536870912
1434187958,536870912
1434187960,536870912
1434187962,536870912
1434187964,536870912
1434187966,536870912
1434187968,536870912
1434187970,536870912
1434187972,536870912
1434187974,536870912
1434187976,536870912
