t,value
1434187606,518782976
1434187608,518782976
1434187610,518782976
1434187612,518782976
1434187614,518782976
1434187616,518782976
1434187618,518782976
1434187620,518782976
1434187622,518782976
1434187624,518782976
1434187626,518782976
1434187628,518782976
1434187630,518782976
1434187632,518782976
1434187634,518782976
1434187636,518782976
1434187638,518782976
1434187640,518782976
1434187642,518782976
1434187644,518782976
1434187646,518782976
1434187648,518782976
1434187650,518782976
1434187652,518782976
1434187654,518782976
1434187656,518782976
1434187658,518782976
1434187660,518782976
1434187662,518782976
1434187664,518782976
1434187666,518782976
1434187668,518782976
1434187670,518782976
1434187672,518782976
1434187674,518782976
1434187676,518782976
1434187678,518782976
1434187680,518782976
1434187682,518782976
1434187684,518782976
1434187686,518782976
1434187688,518782976
1434187690,518782976
1434187692,518782976
1434187694,518782976
1434187696,518782976
1434187698,518782976
1434187700,518782976
1434187702,518782976
1434187704,518782976
1434187706,518782976
1434187708,518782976
1434187710,518782976
1434187712,518782976
1434187714,518782976
1434187716,518782976
1434187718,518782976
1434187720,518782976
1434187722,518782976
1434187724,518782976
1434187726,518782976
1434187728,518782976
1434187730,518782976
1434187732,518782976
1434187734,518782976
1434187736,518782976
1434187738,518782976
1434187740,518782976
1434187742,518782976
1434187744,518782976
1434187746,518782976
1434187748,518782976
1434187750,518782976
1434187752,518782976
1434187754,518782976
1434187756,518782976
1434187758,518782976
1434187760,518782976
1434187762,518782976
1434187764,518782976
1434187766,518782976
1434187768,518782976
1434187770,518782976
1434187772,518782976
1434187774,518782976
1434187776,518782976
1434187778,518782976
1434187780,518782976
1434187782,518782976
1434187784,518782976
1434187786,518782976
1434187788,518782976
1434187790,518782976
1434187792,518782976
1434187794,518782976
1434187796,518782976
1434187798,520880128
1434187800,520880128
1434187802,520880128
1434187804,520880128
1434187806,520880128
1434187808,520880128
1434187810,520880128
1434187812,520880128
1434187814,520880128
1434187816,520880128
1434187818,520880128
1434187820,520880128
1434187822,520880128
1434187824,520880128
1434187826,520880128
1434187828,520880128
1434187830,520880128
1434187832,520880128
1434187834,520880128
1434187836,520880128
1434187838,520880128
1434187840,520880128
1434187842,520880128
1434187844,520880128
1434187846,520880128
1434187848,520880128
1434187850,520880128
1434187852,520880128
1434187854,520880128
1434187856,520880128
1434187858,520880128
1434187860,520880128
1434187862,520880128
1434187864,520880128
1434187866,520880128
1434187868,520880128
1434187870,520880128
1434187872,520880128
1434187874,520880128
1434187876,520880128
1434187878,520880128
1434187880,520880128
1434187882,520880128
1434187884,520880128
1434187886,520880128
1434187888,520880128
1434187890,520880128
1434187892,520880128
1434187894,520880128
1434187896,520880128
1434187898,520880128
1434187900,520880128
1434187902,520880128
1434187904,520880128
1434187906,520880128
1434187908,520880128
1434187910,520880128
1434187912,520880128
1434187914,520880128
1434187916,520880128
