t,value
1434187606,108951152
1434187608,108951152
1434187610,108951152
1434187612,109089616
1434187614,109089616
1434187616,109166600
1434187618,109166600
1434187620,111738096
1434187622,111738096
1434187624,111823160
1434187626,111823160
1434187628,112123192
1434187630,112465464
1434187632,112542336
1434187634,112619216
1434187636,115198784
1434187638,115198784
1434187640,115352672
1434187642,115437736
1434187644,115514632
1434187646,115591616
1434187648,115738248
1434187650,115738248
1434187652,118375456
1434187654,118452456
1434187656,118537520
1434187658,118850920
1434187660,118927912
1434187662,119012976
1434187664,119151432
1434187666,119228336
1434187668,121808168
1434187670,121893440
1434187672,121970440
1434187674,122055504
1434187676,123650392
1434187678,123727320
1434187680,123812384
1434187682,123873944
1434187684,123950816
1434187686,126530528
1434187688,126615648
1434187690,126692584
1434187692,126777648
1434187694,126912224
1434187696,127039936
1434187698,127125056
1434187700,127263576
1434187702,129851256
1434187704,129928128
1434187706,130005104
1434187708,130005104
1434187710,130090168
1434187712,130167040
1434187714,130329344
1434187716,130390904
1434187718,133206992
1434187720,133292056
1434187722,133368928
1434187724,133445904
1434187726,133594328
1434187728,133671200
1434187730,133748384
1434187732,133833504
1434187734,136474640
1434187736,136559704
1434187738,136559704
1434187740,136771344
1434187742,136856408
1434187744,136933280
1434187746,136933280
1434187748,137095584
1434187750,139598200
1434187752,139736728
1434187754,139898664
1434187756,139898664
1434187758,139975640
1434187760,140060704
1434187762,140137576
1434187764,140214760
1434187766,142802496
1434187768,142864056
1434187770,142941016
1434187772,143026080
1434187774,143179928
1434187776,143179928
1434187778,143501496
1434187780,143578368
1434187782,146158168
1434187784,146243288
1434187786,146439648
1434187788,146524712
1434187790,146601584
1434187792,146741920
1434187794,146826984
1434187796,146842736
1434187798,11548816
1434187800,11817952
1434187802,11818456
1434187804,11955480
1434187806,11955912
1434187808,12092744
1434187810,12141552
1434187812,14591864
1434187814,14608712
1434187816,14729160
1434187818,14866136
1434187820,14866496
1434187822,14995320
1434187824,15044056
1434187826,15180960
1434187828,17631400
1434187830,17680392
1434187832,17817480
1434187834,17817912
1434187836,17954888
1434187838,18189552
1434187840,18318368
1434187842,20648576
1434187844,20777344
1434187846,20906304
1434187848,20906880
1434187850,21043832
1434187852,21149080
1434187854,21286056
1434187856,21286488
1434187858,23736872
1434187860,23873952
1434187862,23874384
1434187864,24059664
1434187866,24060096
1434187868,24188992
1434187870,24325896
1434187872,26647872
1434187874,26656512
1434187876,26777056
1434187878,27011096
1434187880,27011600
1434187882,27148504
1434187884,27148936
1434187886,27277752
1434187888,29607864
1434187890,29793208
1434187892,29970472
1434187894,29970904
1434187896,30108072
1434187898,30302640
1434187900,30431408
1434187902,32881792
1434187904,32882224
1434187906,32947376
1434187908,33067968
1434187910,33213152
1434187912,33213584
1434187914,33334096
1434187916,33334600
1434187918,35776616
1434187920,35825352
1434187922,35945968
1434187924,36123312
1434187926,36123744
1434187928,36244320
1434187930,36244824
1434187932,36413744
1434187934,38855968
1434187936,38912824
1434187938,39041664
1434187940,39042168
1434187942,39162744
1434187944,39163208
1434187946,39332120
1434187948,39452888
1434187950,41774792
1434187952,41903488
1434187954,41904064
1434187956,42024648
1434187958,42331272
1434187960,42380008
1434187962,44450600
1434187964,51639936
1434187966,55668496
1434187968,55788640
1434187970,55788640
1434187972,55957360
1434187974,56005664
1434187976,56125984
1434187978,56125984
1434187980,58632288
1434187982,58752440
1434187984,58752440
1434187986,58872696
1434187988,58921000
1434187990,59041336
1434187992,59169672
1434187994,59169672
1434187996,61611296
1434187998,61611296
1434188000,61779784
1434188002,61779784
1434188004,61900040
1434188006,62028376
1434188008,62028376
1434188010,64518576
1434188012,64518576
1434188014,64687064
1434188016,64807384
1434188018,64993312
1434188020,65121648
1434188022,65121648
1434188024,65241792
1434188026,67563296
1434188028,67731776
1434188030,67852112
1434188032,67852112
1434188034,68036944
1434188036,68036944
1434188038,68157096
1434188040,68277360
1434188042,70647136
1434188044,70767336
1434188046,70767336
1434188048,70944232
1434188050,71064376
1434188052,71064376
1434188054,71184528
1434188056,71232832
1434188058,73674624
1434188060,73674624
1434188062,73802960
1434188064,73923112
1434188066,73923112
1434188068,74091672
1434188070,74091672
1434188072,76533480
1434188074,76661816
1434188076,76661816
1434188078,76967896
1434188080,77016456
1434188082,77184952
1434188084,77184952
1434188086,77361720
1434188088,79811528
1434188090,79811528
1434188092,79931672
1434188094,79931672
1434188096,80100160
1434188098,80220480
1434188100,80220480
1434188102,80348816
1434188104,82670288
1434188106,82790432
1434188108,82790464
1434188110,82958944
1434188112,83079280
1434188114,83079280
1434188116,83207616
1434188118,83207616
1434188120,85649240
1434188122,85769504
1434188124,85866376
1434188126,85986576
1434188128,85986576
1434188130,86171408
1434188132,86291552
1434188134,88613024
1434188136,88781480
1434188138,88967408
1434188140,89087728
1434188142,89087728
1434188144,89216064
1434188146,89336216
1434188148,89336216
1434188150,91826248
1434188152,91826248
1434188154,91946584
1434188156,92074920
1434188158,92861744
1434188160,92981896
1434188162,93102040
1434188164,93514632
1434188166,95964440
1434188168,96084624
1434188170,96084624
1434188172,96204872
1434188174,96381768
1434188176,96501912
1434188178,96670536
1434188180,96855368
1434188182,99297024
1434188184,99297024
1434188186,99417168
1434188188,99545504
1434188190,99713992
1434188192,99834328
1434188194,99962664
1434188196,102404280
1434188198,102524600
1434188200,102652936
1434188202,102652936
1434188204,102821424
1434188206,102941744
1434188208,103070080
1434188210,103190264
1434188212,105632072
1434188214,105760408
1434188216,105760408
1434188218,105928872
1434188220,106097584
1434188222,106225920
1434188224,106346064
1434188226,106466384
1434188228,108916192
1434188230,110033096
1434188232,110201736
1434188234,110985016
1434188236,111113352
1434188238,111233520
1434188240,111353680
1434188242,113803488
1434188244,114100296
1434188246,114220448
1434188248,114340608
1434188250,114468944
1434188252,114637688
1434188254,114757848
1434188256,115006504
1434188258,117504616
1434188260,117624784
1434188262,117744944
1434188264,117873280
1434188266,117993432
1434188268,118241944
1434188270,118370280
1434188272,118538736
1434188274,120980368
1434188276,121108704
1434188278,121228888
1434188280,121405552
1434188282,121654208
1434188284,121782544
1434188286,121951016
1434188288,122071176
1434188290,124520984
1434188292,124641136
1434188294,124889648
1434188296,125066824
1434188298,125186976
1434188300,125355440
1434188302,125483776
1434188304,127925432
1434188306,128045592
1434188308,128294248
1434188310,128422584
1434188312,128591056
1434188314,128711216
1434188316,128839552
1434188318,129145632
1434188320,131715616
1434188322,131900448
1434188324,132020600
