t,value
1434187606,24903680
1434187608,24903680
1434187610,24903680
1434187612,24903680
1434187614,24903680
1434187616,24903680
1434187618,24903680
1434187620,24903680
1434187622,24903680
1434187624,24903680
1434187626,24903680
1434187628,24903680
1434187630,24903680
1434187632,24903680
1434187634,24903680
1434187636,24903680
1434187638,24903680
1434187640,24903680
1434187642,24903680
1434187644,24903680
1434187646,24903680
1434187648,24903680
1434187650,24903680
1434187652,24903680
1434187654,24903680
1434187656,24903680
1434187658,24903680
1434187660,24903680
1434187662,24903680
1434187664,24903680
1434187666,24903680
1434187668,24903680
1434187670,24903680
1434187672,24903680
1434187674,24903680
1434187676,24903680
1434187678,24903680
1434187680,24903680
1434187682,24903680
1434187684,24903680
1434187686,24903680
1434187688,24903680
1434187690,24903680
1434187692,24903680
1434187694,24903680
1434187696,24903680
1434187698,24903680
1434187700,24903680
1434187702,24903680
1434187704,24903680
1434187706,24903680
1434187708,24903680
1434187710,24903680
1434187712,24903680
1434187714,24903680
1434187716,24903680
1434187718,24903680
1434187720,24903680
1434187722,24903680
1434187724,24903680
1434187726,24903680
1434187728,24903680
1434187730,24903680
1434187732,24903680
1434187734,24903680
1434187736,24903680
1434187738,24903680
1434187740,24903680
1434187742,24903680
1434187744,24903680
1434187746,24903680
1434187748,24903680
1434187750,24903680
1434187752,24903680
1434187754,24903680
1434187756,24903680
1434187758,24903680
1434187760,24903680
1434187762,24903680
1434187764,24903680
1434187766,24903680
1434187768,24903680
1434187770,24903680
1434187772,24903680
1434187774,24903680
1434187776,24903680
1434187778,24903680
1434187780,24903680
1434187782,24903680
1434187784,24903680
1434187786,24903680
1434187788,24903680
1434187790,24903680
1434187792,24903680
1434187794,24903680
1434187796,24903680
1434187798,24903680
1434187800,24903680
1434187802,24903680
1434187804,24903680
1434187806,24903680
1434187808,24903680
1434187810,24903680
1434187812,24903680
1434187814,24903680
1434187816,24903680
1434187818,24903680
1434187820,24903680
1434187822,24903680
1434187824,24903680
1434187826,24903680
1434187828,24903680
1434187830,24903680
1434187832,24903680
1434187834,24903680
1434187836,24903680
1434187838,24903680
1434187840,24903680
1434187842,24903680
1434187844,24903680
1434187846,24903680
1434187848,24903680
1434187850,24903680
1434187852,24903680
1434187854,24903680
1434187856,24903680
1434187858,24903680
1434187860,24903680
1434187862,24903680
1434187864,24903680
1434187866,24903680
1434187868,24903680
1434187870,24903680
1434187872,24903680
1434187874,24903680
1434187876,24903680
1434187878,24903680
1434187880,24903680
1434187882,24903680
1434187884,24903680
1434187886,24903680
1434187888,24903680
1434187890,24903680
1434187892,24903680
1434187894,24903680
1434187896,24903680
1434187898,24903680
1434187900,24903680
1434187902,24903680
1434187904,24903680
1434187906,24903680
1434187908,24903680
1434187910,24903680
1434187912,24903680
1434187914,24903680
1434187916,24903680
1434187918,24903680
1434187920,24903680
1434187922,24903680
1434187924,24903680
1434187926,24903680
1434187928,24903680
1434187930,24903680
1434187932,24903680
1434187934,24903680
1434187936,24903680
1434187938,24903680
1434187940,24903680
1434187942,24903680
1434187944,24903680
1434187946,24903680
1434187948,24903680
1434187950,24903680
1434187952,24903680
1434187954,24903680
1434187956,24903680
1434187958,24903680
1434187960,24903680
1434187962,24903680
1434187964,24903680
1434187966,24903680
1434187968,24903680
1434187970,24903680
1434187972,24903680
1434187974,24903680
1434187976,24903680
1434187978,24903680
1434187980,24903680
1434187982,24903680
1434187984,24903680
1434187986,24903680
1434187988,24903680
1434187990,24903680
1434187992,24903680
1434187994,24903680
1434187996,24903680
1434187998,24903680
1434188000,24903680
1434188002,24903680
1434188004,24903680
1434188006,24903680
1434188008,24903680
1434188010,24903680
1434188012,24903680
1434188014,24903680
1434188016,24903680
1434188018,24903680
1434188020,24903680
1434188022,24903680
1434188024,24903680
1434188026,24903680
1434188028,24903680
1434188030,24903680
1434188032,24903680
1434188034,24903680
1434188036,24903680
1434188038,24903680
1434188040,24903680
1434188042,24903680
1434188044,24903680
1434188046,24903680
1434188048,24903680
1434188050,24903680
1434188052,24903680
1434188054,24903680
1434188056,24903680
1434188058,24903680
1434188060,24903680
1434188062,24903680
1434188064,24903680
1434188066,24903680
1434188068,24903680
1434188070,24903680
1434188072,24903680
1434188074,24903680
1434188076,24903680
1434188078,24903680
1434188080,24903680
1434188082,24903680
1434188084,24903680
1434188086,24903680
1434188088,24903680
1434188090,24903680
1434188092,24903680
1434188094,24903680
1434188096,24903680
1434188098,24903680
1434188100,24903680
1434188102,24903680
1434188104,24903680
1434188106,24903680
1434188108,24903680
1434188110,24903680
1434188112,24903680
1434188114,24903680
1434188116,24903680
1434188118,24903680
1434188120,24903680
1434188122,24903680
1434188124,24903680
1434188126,24903680
1434188128,24903680
1434188130,24903680
1434188132,24903680
1434188134,24903680
1434188136,24903680
1434188138,24903680
1434188140,24903680
