t,value
1434187606,19136512
1434187608,19136512
1434187610,19136512
1434187612,19136512
1434187614,19136512
1434187616,19136512
1434187618,19136512
1434187620,19136512
1434187622,19136512
1434187624,19136512
1434187626,19136512
1434187628,19136512
1434187630,19136512
1434187632,19136512
1434187634,19136512
1434187636,19136512
1434187638,19136512
1434187640,19136512
1434187642,19136512
1434187644,19136512
1434187646,19136512
1434187648,19136512
1434187650,19136512
1434187652,19136512
1434187654,19136512
1434187656,19136512
1434187658,19136512
1434187660,19136512
1434187662,19136512
1434187664,19136512
1434187666,19136512
1434187668,19136512
1434187670,19136512
1434187672,19136512
1434187674,19136512
1434187676,19136512
1434187678,19136512
1434187680,19136512
1434187682,19136512
1434187684,19136512
1434187686,19136512
1434187688,19136512
1434187690,19136512
1434187692,19136512
1434187694,19136512
1434187696,19136512
1434187698,19136512
1434187700,19136512
1434187702,19136512
1434187704,19136512
1434187706,19136512
1434187708,19136512
1434187710,19136512
1434187712,19136512
1434187714,19136512
1434187716,19136512
1434187718,19136512
1434187720,19136512
1434187722,19136512
1434187724,19136512
1434187726,19136512
1434187728,19136512
1434187730,19136512
1434187732,19136512
1434187734,19136512
1434187736,19136512
1434187738,19136512
1434187740,19136512
1434187742,19136512
1434187744,19136512
1434187746,19136512
1434187748,19136512
1434187750,19136512
1434187752,19136512
1434187754,19136512
1434187756,19136512
1434187758,19136512
1434187760,19136512
1434187762,19136512
1434187764,19136512
1434187766,19136512
1434187768,19136512
1434187770,19136512
1434187772,19136512
1434187774,19136512
1434187776,19136512
1434187778,19136512
1434187780,19136512
1434187782,19136512
1434187784,19136512
1434187786,19136512
1434187788,19136512
1434187790,19136512
1434187792,19136512
1434187794,19136512
1434187796,19136512
1434187798,19136512
1434187800,19136512
1434187802,19136512
1434187804,19136512
1434187806,19136512
1434187808,19136512
1434187810,19136512
1434187812,19136512
1434187814,19136512
1434187816,19136512
1434187818,19136512
1434187820,19136512
1434187822,19136512
1434187824,19136512
1434187826,19136512
1434187828,19136512
1434187830,19136512
1434187832,19136512
1434187834,19136512
1434187836,19136512
1434187838,19136512
1434187840,19136512
1434187842,19136512
1434187844,19136512
1434187846,19136512
1434187848,19136512
1434187850,19136512
1434187852,19136512
1434187854,19136512
1434187856,19136512
1434187858,19136512
1434187860,19136512
1434187862,19136512
1434187864,19136512
1434187866,19136512
1434187868,19136512
1434187870,19136512
1434187872,19136512
1434187874,19136512
1434187876,19136512
1434187878,19136512
1434187880,19136512
1434187882,19136512
1434187884,19136512
1434187886,19136512
1434187888,19136512
1434187890,19136512
1434187892,19136512
1434187894,19136512
1434187896,19136512
1434187898,19136512
1434187900,19136512
1434187902,19136512
1434187904,19136512
1434187906,19136512
1434187908,19136512
1434187910,19136512
1434187912,19136512
1434187914,19136512
1434187916,19136512
1434187918,19136512
1434187920,19136512
1434187922,19136512
1434187924,19136512
1434187926,19136512
1434187928,19136512
1434187930,19136512
1434187932,19136512
1434187934,19136512
1434187936,19136512
1434187938,19136512
1434187940,19136512
1434187942,19136512
1434187944,19136512
1434187946,19136512
1434187948,19136512
