t,value
1434187606,184549376
1434187608,184549376
1434187610,184549376
1434187612,184549376
1434187614,184549376
1434187616,184549376
1434187618,184549376
1434187620,184549376
1434187622,184549376
1434187624,184549376
1434187626,184549376
1434187628,184549376
1434187630,184549376
1434187632,184549376
1434187634,184549376
1434187636,184549376
1434187638,184549376
1434187640,184549376
1434187642,184549376
1434187644,184549376
1434187646,184549376
1434187648,184549376
1434187650,184549376
1434187652,184549376
1434187654,184549376
1434187656,184549376
1434187658,184549376
1434187660,184549376
1434187662,184549376
1434187664,184549376
1434187666,184549376
1434187668,184549376
1434187670,184549376
1434187672,184549376
1434187674,184549376
1434187676,184549376
1434187678,184549376
1434187680,184549376
1434187682,184549376
1434187684,184549376
1434187686,184549376
1434187688,184549376
1434187690,184549376
1434187692,184549376
1434187694,184549376
1434187696,184549376
1434187698,184549376
1434187700,184549376
1434187702,184549376
1434187704,184549376
1434187706,184549376
1434187708,184549376
1434187710,184549376
1434187712,184549376
1434187714,184549376
1434187716,184549376
1434187718,184549376
1434187720,184549376
1434187722,184549376
1434187724,184549376
1434187726,184549376
1434187728,184549376
1434187730,184549376
1434187732,184549376
1434187734,184549376
1434187736,184549376
1434187738,184549376
1434187740,184549376
1434187742,184549376
1434187744,184549376
1434187746,184549376
1434187748,184549376
1434187750,184549376
1434187752,184549376
1434187754,184549376
1434187756,184549376
1434187758,184549376
1434187760,184549376
1434187762,184549376
1434187764,184549376
1434187766,184549376
1434187768,184549376
1434187770,184549376
1434187772,184549376
1434187774,184549376
1434187776,184549376
1434187778,184549376
1434187780,184549376
1434187782,184549376
1434187784,184549376
1434187786,184549376
1434187788,184549376
1434187790,184549376
1434187792,184549376
1434187794,184549376
1434187796,184549376
1434187798,184549376
1434187800,184549376
1434187802,184549376
1434187804,184549376
1434187806,184549376
1434187808,184549376
1434187810,184549376
1434187812,184549376
1434187814,184549376
1434187816,184549376
1434187818,184549376
1434187820,184549376
1434187822,184549376
1434187824,184549376
1434187826,184549376
1434187828,184549376
1434187830,184549376
1434187832,184549376
1434187834,184549376
1434187836,184549376
1434187838,184549376
1434187840,184549376
1434187842,184549376
1434187844,184549376
1434187846,184549376
1434187848,184549376
1434187850,184549376
1434187852,184549376
1434187854,184549376
1434187856,184549376
1434187858,184549376
1434187860,184549376
1434187862,184549376
1434187864,184549376
1434187866,184549376
1434187868,184549376
1434187870,184549376
1434187872,184549376
1434187874,184549376
1434187876,184549376
1434187878,184549376
1434187880,184549376
1434187882,184549376
1434187884,184549376
1434187886,184549376
1434187888,184549376
1434187890,184549376
1434187892,184549376
1434187894,184549376
1434187896,184549376
1434187898,184549376
1434187900,184549376
1434187902,184549376
1434187904,184549376
1434187906,184549376
1434187908,184549376
1434187910,184549376
1434187912,184549376
1434187914,184549376
1434187916,184549376
1434187918,184549376
1434187920,184549376
1434187922,184549376
1434187924,184549376
1434187926,184549376
1434187928,184549376
1434187930,184549376
1434187932,184549376
1434187934,184549376
1434187936,184549376
1434187938,184549376
1434187940,184549376
1434187942,184549376
1434187944,184549376
1434187946,184549376
1434187948,184549376
1434187950,184549376
1434187952,184549376
1434187954,184549376
1434187956,184549376
1434187958,184549376
1434187960,184549376
1434187962,184549376
1434187964,184549376
1434187966,184549376
1434187968,184549376
1434187970,184549376
1434187972,184549376
1434187974,184549376
1434187976,184549376
1434187978,184549376
1434187980,184549376
1434187982,184549376
