t,value
1434187606,23970680
1434187608,23970800
1434187610,23971320
1434187612,23973096
1434187614,23973592
1434187616,23975456
1434187618,23975456
1434187620,23975920
1434187622,23976400
1434187624,23989192
1434187626,23989928
1434187628,23997616
1434187630,24000640
1434187632,24001448
1434187634,24002088
1434187636,24003712
1434187638,24008576
1434187640,24009480
1434187642,24012704
1434187644,24012704
1434187646,24014320
1434187648,24014768
1434187650,24015072
1434187652,24008640
1434187654,24009408
1434187656,24009536
1434187658,23995712
1434187660,23995712
1434187662,23998560
1434187664,23998704
1434187666,23999080
1434187668,23999080
1434187670,24001896
1434187672,24002048
1434187674,24003360
1434187676,24044016
1434187678,24045376
1434187680,24045952
1434187682,24045952
1434187684,24045952
1434187686,24046656
1434187688,24046656
1434187690,24051520
1434187692,24051712
1434187694,24051712
1434187696,24051712
1434187698,24051712
1434187700,24052056
1434187702,24052056
1434187704,24052056
1434187706,24052056
1434187708,24052056
1434187710,24055136
1434187712,24056368
1434187714,24056368
1434187716,24056368
1434187718,24056368
1434187720,24056368
1434187722,24057136
1434187724,24057648
1434187726,24057648
1434187728,24057648
1434187730,24057648
1434187732,24057648
1434187734,24057648
1434187736,24057648
1434187738,24057648
1434187740,24058160
1434187742,24058544
1434187744,24058544
1434187746,24058544
1434187748,24056960
1434187750,24056960
1434187752,24049216
1434187754,24049216
1434187756,24047360
1434187758,24047360
1434187760,24047360
1434187762,24054144
1434187764,24042048
1434187766,24042048
1434187768,24042048
1434187770,24042048
1434187772,24042048
1434187774,24042696
1434187776,24042696
1434187778,24042696
1434187780,24040392
1434187782,24040392
1434187784,24041352
1434187786,24043144
1434187788,24043144
1434187790,24043144
1434187792,24043144
1434187794,24043144
1434187796,24043144
1434187798,24044120
1434187800,24044120
1434187802,24044120
1434187804,24044120
1434187806,24044256
1434187808,24044608
1434187810,24046184
1434187812,24049208
1434187814,24052216
1434187816,24052728
1434187818,24052728
1434187820,24053080
1434187822,24053080
1434187824,24053080
1434187826,24053232
1434187828,24053232
1434187830,24053232
1434187832,24053232
1434187834,24048624
1434187836,24048992
1434187838,24049296
1434187840,24049296
1434187842,23991760
1434187844,23991760
1434187846,23991760
1434187848,23992192
1434187850,23992864
1434187852,23985760
1434187854,23985760
1434187856,23985760
1434187858,23985760
1434187860,23985888
1434187862,23985888
1434187864,23985888
1434187866,23985888
1434187868,23987128
1434187870,23987728
1434187872,23987848
1434187874,23987848
1434187876,23987848
1434187878,23987848
1434187880,23987848
1434187882,23987848
1434187884,23987848
1434187886,23987848
1434187888,23988296
1434187890,23988296
1434187892,23988720
1434187894,23984560
1434187896,23984560
1434187898,23984560
1434187900,23984560
1434187902,23984560
1434187904,23977072
1434187906,24035440
1434187908,24086240
1434187910,24086320
1434187912,24086320
1434187914,24086320
1434187916,24086464
1434187918,24086464
1434187920,24096720
1434187922,24096920
1434187924,24096920
1434187926,24096920
1434187928,24096920
1434187930,24096920
1434187932,24097496
1434187934,24099256
1434187936,24099256
1434187938,24099256
1434187940,24099256
1434187942,24099256
1434187944,24099256
1434187946,24099256
1434187948,24099256
1434187950,24099256
1434187952,24099256
1434187954,24099256
1434187956,24099256
1434187958,24099256
1434187960,24099256
1434187962,24112184
1434187964,24112184
1434187966,24112184
1434187968,24112184
1434187970,24112184
1434187972,24112184
1434187974,24112184
1434187976,24112184
1434187978,24112184
1434187980,24112632
1434187982,24112632
1434187984,24101368
1434187986,24101368
1434187988,24101368
1434187990,24101368
1434187992,24101368
1434187994,24101368
1434187996,24101368
1434187998,24101368
