t,value
1434187606,543686656
1434187608,543686656
1434187610,543686656
1434187612,543686656
1434187614,543686656
1434187616,543686656
1434187618,543686656
1434187620,543686656
1434187622,543686656
1434187624,543686656
1434187626,543686656
1434187628,543686656
1434187630,543686656
1434187632,543686656
1434187634,543686656
1434187636,543686656
1434187638,543686656
1434187640,543686656
1434187642,543686656
1434187644,543686656
1434187646,543686656
1434187648,543686656
1434187650,543686656
1434187652,543686656
1434187654,543686656
1434187656,543686656
1434187658,543686656
1434187660,543686656
1434187662,543686656
1434187664,543686656
1434187666,543686656
1434187668,543686656
1434187670,543686656
1434187672,543686656
1434187674,543686656
1434187676,543686656
1434187678,543686656
1434187680,543686656
1434187682,543686656
1434187684,543686656
1434187686,543686656
1434187688,543686656
1434187690,543686656
1434187692,543686656
1434187694,543686656
1434187696,543686656
1434187698,543686656
1434187700,543686656
1434187702,543686656
1434187704,543686656
1434187706,543686656
1434187708,543686656
1434187710,543686656
1434187712,543686656
1434187714,543686656
1434187716,543686656
1434187718,543686656
1434187720,543686656
1434187722,543686656
1434187724,543686656
1434187726,543686656
1434187728,543686656
1434187730,543686656
1434187732,543686656
1434187734,543686656
1434187736,543686656
1434187738,543686656
1434187740,543686656
1434187742,543686656
1434187744,543686656
1434187746,543686656
1434187748,543686656
1434187750,543686656
1434187752,543686656
1434187754,543686656
1434187756,543686656
1434187758,543686656
1434187760,543686656
1434187762,543686656
1434187764,543686656
1434187766,543686656
1434187768,543686656
1434187770,543686656
1434187772,543686656
1434187774,543686656
1434187776,543686656
1434187778,543686656
1434187780,543686656
1434187782,543686656
1434187784,543686656
1434187786,543686656
1434187788,543686656
1434187790,543686656
1434187792,543686656
1434187794,543686656
1434187796,545783808
1434187798,545783808
1434187800,545783808
1434187802,545783808
1434187804,545783808
1434187806,545783808
1434187808,545783808
1434187810,545783808
1434187812,545783808
1434187814,545783808
1434187816,545783808
1434187818,545783808
1434187820,545783808
1434187822,545783808
1434187824,545783808
1434187826,545783808
1434187828,545783808
1434187830,545783808
1434187832,545783808
1434187834,545783808
1434187836,545783808
1434187838,545783808
1434187840,545783808
1434187842,545783808
1434187844,545783808
1434187846,545783808
1434187848,545783808
1434187850,545783808
1434187852,545783808
1434187854,545783808
1434187856,545783808
1434187858,545783808
1434187860,545783808
1434187862,545783808
1434187864,545783808
1434187866,545783808
1434187868,545783808
1434187870,545783808
1434187872,545783808
1434187874,545783808
1434187876,545783808
1434187878,545783808
1434187880,545783808
1434187882,545783808
1434187884,545783808
1434187886,545783808
1434187888,545783808
1434187890,545783808
1434187892,545783808
1434187894,545783808
1434187896,545783808
1434187898,545783808
1434187900,545783808
1434187902,545783808
1434187904,545783808
1434187906,545783808
1434187908,545783808
1434187910,545783808
1434187912,545783808
1434187914,545783808
1434187916,545783808
1434187918,545783808
1434187920,545783808
1434187922,545783808
1434187924,545783808
1434187926,545783808
1434187928,545783808
1434187930,545783808
1434187932,545783808
1434187934,545783808
1434187936,545783808
1434187938,545783808
1434187940,545783808
1434187942,545783808
1434187944,545783808
1434187946,545783808
1434187948,545783808
1434187950,545783808
1434187952,545783808
1434187954,545783808
1434187956,545783808
1434187958,545783808
1434187960,545783808
1434187962,545783808
1434187964,545783808
1434187966,545783808
1434187968,545783808
1434187970,545783808
1434187972,545783808
1434187974,545783808
1434187976,545783808
1434187978,545783808
1434187980,545783808
1434187982,545783808
1434187984,545783808
1434187986,545783808
1434187988,545783808
1434187990,545783808
1434187992,545783808
1434187994,545783808
1434187996,545783808
1434187998,545783808
1434188000,545783808
1434188002,545783808
1434188004,545783808
1434188006,545783808
1434188008,545783808
1434188010,545783808
1434188012,545783808
1434188014,545783808
1434188016,545783808
1434188018,545783808
1434188020,545783808
1434188022,545783808
1434188024,545783808
1434188026,545783808
1434188028,545783808
1434188030,545783808
1434188032,545783808
1434188034,545783808
1434188036,545783808
1434188038,545783808
1434188040,545783808
1434188042,545783808
1434188044,545783808
1434188046,545783808
1434188048,545783808
1434188050,545783808
1434188052,545783808
1434188054,545783808
1434188056,545783808
1434188058,545783808
1434188060,545783808
1434188062,545783808
1434188064,545783808
1434188066,545783808
1434188068,545783808
1434188070,545783808
1434188072,545783808
1434188074,545783808
1434188076,545783808
1434188078,545783808
1434188080,545783808
1434188082,545783808
1434188084,545783808
1434188086,545783808
1434188088,545783808
1434188090,545783808
1434188092,545783808
1434188094,545783808
1434188096,545783808
1434188098,545783808
1434188100,545783808
1434188102,545783808
1434188104,545783808
1434188106,545783808
1434188108,545783808
1434188110,545783808
1434188112,545783808
1434188114,545783808
1434188116,545783808
1434188118,545783808
1434188120,545783808
1434188122,545783808
1434188124,545783808
1434188126,545783808
1434188128,545783808
1434188130,545783808
1434188132,545783808
1434188134,545783808
1434188136,545783808
1434188138,545783808
1434188140,545783808
1434188142,545783808
1434188144,545783808
1434188146,545783808
1434188148,545783808
1434188150,545783808
1434188152,545783808
1434188154,545783808
1434188156,545783808
1434188158,545783808
1434188160,545783808
1434188162,545783808
1434188164,545783808
1434188166,545783808
1434188168,545783808
1434188170,545783808
1434188172,545783808
1434188174,545783808
1434188176,545783808
1434188178,545783808
1434188180,545783808
1434188182,545783808
1434188184,545783808
1434188186,545783808
1434188188,545783808
1434188190,545783808
1434188192,545783808
1434188194,545783808
1434188196,545783808
1434188198,545783808
1434188200,545783808
1434188202,545783808
1434188204,545783808
1434188206,545783808
1434188208,545783808
1434188210,545783808
1434188212,545783808
1434188214,545783808
1434188216,545783808
1434188218,545783808
1434188220,545783808
1434188222,545783808
1434188224,545783808
1434188226,545783808
1434188228,545783808
1434188230,545783808
1434188232,545783808
1434188234,545783808
1434188236,545783808
1434188238,545783808
1434188240,545783808
1434188242,545783808
1434188244,545783808
1434188246,545783808
1434188248,545783808
1434188250,545783808
1434188252,545783808
1434188254,545783808
1434188256,545783808
1434188258,545783808
1434188260,545783808
1434188262,545783808
1434188264,545783808
1434188266,545783808
1434188268,545783808
1434188270,545783808
1434188272,545783808
1434188274,545783808
1434188276,545783808
1434188278,545783808
1434188280,545783808
1434188282,545783808
1434188284,545783808
1434188286,545783808
1434188288,545783808
1434188290,545783808
1434188292,545783808
1434188294,545783808
1434188296,545783808
1434188298,545783808
1434188300,545783808
1434188302,545783808
1434188304,545783808
1434188306,545783808
1434188308,545783808
1434188310,545783808
1434188312,545783808
1434188314,545783808
1434188316,545783808
1434188318,545783808
1434188320,545783808
1434188322,545783808
1434188324,545783808
1434188326,545783808
1434188328,545783808
1434188330,545783808
1434188332,545783808
1434188334,545783808
1434188336,545783808
1434188338,545783808
1434188340,545783808
1434188342,545783808
1434188344,545783808
1434188346,545783808
1434188348,545783808
1434188350,545783808
1434188352,545783808
1434188354,545783808
1434188356,545783808
1434188358,545783808
1434188360,545783808
1434188362,545783808
1434188364,545783808
1434188366,545783808
1434188368,545783808
1434188370,545783808
1434188372,545783808
1434188374,545783808
1434188376,545783808
1434188378,545783808
1434188380,545783808
1434188382,545783808
1434188384,545783808
1434188386,545783808
1434188388,545783808
1434188390,545783808
1434188392,545783808
1434188394,545783808
