t,value
1434187606,556007424
1434187608,556007424
1434187610,556007424
1434187612,556007424
1434187614,556007424
1434187616,556007424
1434187618,556007424
1434187620,556007424
1434187622,556007424
1434187624,556007424
1434187626,556007424
1434187628,556007424
1434187630,556007424
1434187632,556007424
1434187634,556007424
1434187636,556007424
1434187638,556007424
1434187640,556007424
1434187642,556007424
1434187644,556007424
1434187646,556007424
1434187648,556007424
1434187650,556007424
1434187652,556007424
1434187654,556007424
1434187656,556007424
1434187658,556007424
1434187660,556007424
1434187662,556007424
1434187664,556007424
1434187666,556007424
1434187668,556007424
1434187670,556007424
1434187672,556007424
1434187674,556007424
1434187676,556007424
1434187678,556007424
1434187680,556007424
1434187682,556007424
1434187684,556007424
1434187686,556007424
1434187688,556007424
1434187690,556007424
1434187692,556007424
1434187694,556007424
1434187696,556007424
1434187698,556007424
1434187700,556007424
1434187702,556007424
1434187704,556007424
1434187706,556007424
1434187708,556007424
1434187710,556007424
1434187712,556007424
1434187714,556007424
1434187716,556007424
1434187718,556007424
1434187720,556007424
1434187722,556007424
1434187724,556007424
1434187726,556007424
1434187728,556007424
1434187730,556007424
1434187732,556007424
1434187734,556007424
1434187736,556007424
1434187738,556007424
1434187740,556007424
1434187742,556007424
1434187744,556007424
1434187746,556007424
1434187748,556007424
1434187750,556007424
1434187752,556007424
1434187754,556007424
1434187756,556007424
1434187758,556007424
1434187760,556007424
1434187762,556007424
1434187764,556007424
1434187766,556007424
1434187768,556007424
1434187770,556007424
1434187772,556007424
1434187774,556007424
1434187776,556007424
1434187778,556007424
1434187780,556007424
1434187782,556007424
1434187784,556007424
1434187786,556007424
1434187788,556007424
1434187790,556007424
1434187792,556007424
1434187794,556007424
1434187796,556007424
1434187798,556007424
1434187800,556007424
1434187802,556007424
1434187804,556007424
1434187806,556007424
1434187808,556007424
1434187810,556007424
1434187812,556007424
1434187814,556007424
1434187816,556007424
1434187818,556007424
1434187820,556007424
1434187822,556007424
1434187824,556007424
1434187826,556007424
1434187828,556007424
1434187830,556007424
1434187832,556007424
1434187834,556007424
1434187836,556007424
1434187838,556007424
1434187840,556007424
1434187842,556007424
1434187844,556007424
1434187846,556007424
1434187848,556007424
1434187850,556007424
1434187852,556007424
1434187854,556007424
1434187856,556007424
1434187858,556007424
1434187860,556007424
1434187862,556007424
1434187864,556007424
1434187866,556007424
1434187868,556007424
1434187870,556007424
1434187872,556007424
1434187874,556007424
1434187876,556007424
1434187878,556007424
1434187880,556007424
1434187882,556007424
1434187884,556007424
1434187886,556007424
1434187888,556007424
1434187890,556007424
1434187892,556007424
1434187894,556007424
1434187896,556007424
1434187898,556007424
1434187900,556007424
1434187902,556007424
1434187904,556007424
1434187906,556007424
1434187908,556007424
1434187910,556007424
1434187912,556007424
1434187914,556007424
1434187916,556007424
1434187918,556007424
1434187920,556007424
1434187922,556007424
1434187924,556007424
1434187926,556007424
1434187928,556007424
1434187930,556007424
1434187932,556007424
1434187934,556007424
1434187936,556007424
1434187938,556007424
1434187940,556007424
1434187942,556007424
1434187944,556007424
1434187946,556007424
1434187948,556007424
1434187950,556007424
1434187952,556007424
1434187954,556007424
1434187956,556007424
1434187958,556007424
1434187960,556007424
1434187962,556007424
1434187964,556007424
1434187966,556007424
1434187968,556007424
1434187970,556007424
1434187972,556007424
1434187974,556007424
1434187976,556007424
1434187978,556007424
1434187980,556007424
1434187982,556007424
1434187984,556007424
1434187986,556007424
1434187988,556007424
1434187990,556007424
