t,value
1434187606,703332352
1434187608,703332352
1434187610,703332352
1434187612,703332352
1434187614,703332352
1434187616,703332352
1434187618,703332352
1434187620,703332352
1434187622,703332352
1434187624,703332352
1434187626,703332352
1434187628,703332352
1434187630,703332352
1434187632,703332352
1434187634,703332352
1434187636,703332352
1434187638,703332352
1434187640,703332352
1434187642,703332352
1434187644,703332352
1434187646,703332352
1434187648,703332352
1434187650,703332352
1434187652,703332352
1434187654,703332352
1434187656,703332352
1434187658,703332352
1434187660,703332352
1434187662,703332352
1434187664,703332352
1434187666,703332352
1434187668,703332352
1434187670,703332352
1434187672,703332352
1434187674,703332352
1434187676,703332352
1434187678,703332352
1434187680,703332352
1434187682,703332352
1434187684,703332352
1434187686,703332352
1434187688,703332352
1434187690,703332352
1434187692,703332352
1434187694,703332352
1434187696,703332352
1434187698,703332352
1434187700,703332352
1434187702,703332352
1434187704,703332352
1434187706,703332352
1434187708,703332352
1434187710,703332352
1434187712,703332352
1434187714,703332352
1434187716,703332352
1434187718,703332352
1434187720,703332352
1434187722,703332352
1434187724,703332352
1434187726,703332352
1434187728,703332352
1434187730,703332352
1434187732,703332352
1434187734,703332352
1434187736,703332352
1434187738,703332352
1434187740,703332352
1434187742,703332352
1434187744,703332352
1434187746,703332352
1434187748,703332352
1434187750,703332352
1434187752,703332352
1434187754,703332352
1434187756,703332352
1434187758,703332352
1434187760,703332352
1434187762,703332352
1434187764,703332352
1434187766,703332352
1434187768,703332352
1434187770,703332352
1434187772,703332352
1434187774,703332352
1434187776,703332352
1434187778,703332352
1434187780,703332352
1434187782,703332352
1434187784,703332352
1434187786,703332352
1434187788,703332352
1434187790,703332352
1434187792,703332352
1434187794,703332352
1434187796,705429504
1434187798,705429504
1434187800,705429504
1434187802,705429504
1434187804,705429504
1434187806,705429504
1434187808,705429504
1434187810,705429504
1434187812,705429504
1434187814,705429504
1434187816,705429504
1434187818,705429504
1434187820,705429504
1434187822,705429504
1434187824,705429504
1434187826,705429504
1434187828,705429504
1434187830,705429504
1434187832,705429504
1434187834,705429504
1434187836,705429504
1434187838,705429504
1434187840,705429504
1434187842,705429504
1434187844,705429504
1434187846,705429504
1434187848,705429504
1434187850,705429504
1434187852,705429504
1434187854,705429504
1434187856,705429504
