t,value
1434187606,132921832
1434187608,132922208
1434187610,132922472
1434187612,133062712
1434187614,133064240
1434187616,133142056
1434187618,133142320
1434187620,135714496
1434187622,135714496
1434187624,135812352
1434187626,135813280
1434187628,136198400
1434187630,136466104
1434187632,136543784
1434187634,136621304
1434187636,139202496
1434187638,139284376
1434187640,139362304
1434187642,139450440
1434187644,139527600
1434187646,139606384
1434187648,139753016
1434187650,139830360
1434187652,142461096
1434187654,142546928
1434187656,142547480
1434187658,142923624
1434187660,143008688
1434187662,143088432
1434187664,143150136
1434187666,143227416
1434187668,145807504
1434187670,145895336
1434187672,145972488
1434187674,146058864
1434187676,147694408
1434187678,147773272
1434187680,147858336
1434187682,147996768
1434187684,150577184
1434187686,150662304
1434187688,150739688
1434187690,150829168
1434187692,150906232
1434187694,151041120
1434187696,151176768
1434187698,151177112
1434187700,153818248
1434187702,153903312
1434187704,153980184
1434187706,154057160
1434187708,154142224
1434187710,154222176
1434187712,154300592
1434187714,154385712
1434187716,157026856
1434187718,157348424
1434187720,157425296
1434187722,157503040
1434187724,157588616
1434187726,157728848
1434187728,157806032
1434187730,157891152
1434187732,160393768
1434187734,160532288
1434187736,160617352
1434187738,160694224
1434187740,160829504
1434187742,160914952
1434187744,160991824
1434187746,161069008
1434187748,161152544
1434187750,163732128
1434187752,163871008
1434187754,163947880
1434187756,164023000
1434187758,164108064
1434187760,164184936
1434187762,164181672
1434187764,164341928
1434187766,166844544
1434187768,166983064
1434187770,167068128
1434187772,167145448
1434187774,167222624
1434187776,167307688
1434187778,167621064
1434187780,167695944
1434187782,170283680
1434187784,170361608
1434187786,170567856
1434187788,170644728
1434187790,170721704
1434187792,170870128
1434187794,170885880
1434187796,33893792
1434187798,35721464
1434187800,35862072
1434187802,35999240
1434187804,35999600
1434187806,36136840
1434187808,36137352
1434187810,36319120
1434187812,38657920
1434187814,38781088
1434187816,38918432
1434187818,38919216
1434187820,39048040
1434187822,39048400
1434187824,39233832
1434187826,41563872
1434187828,41684632
1434187830,41870280
1434187832,41870712
1434187834,42003080
1434187836,42004184
1434187838,42367232
1434187840,42318336
