t,value
1434187606,0
1434187608,0
1434187610,0
1434187612,0
1434187614,0
1434187616,0
1434187618,0
1434187620,0
1434187622,0
1434187624,0
1434187626,0
1434187628,1
1434187630,0
1434187632,0
1434187634,0
1434187636,0
1434187638,0
1434187640,0
1434187642,0
1434187644,0
1434187646,0
1434187648,0
1434187650,0
1434187652,0
1434187654,0
1434187656,0
1434187658,0
1434187660,0
1434187662,0
1434187664,0
1434187666,0
1434187668,0
1434187670,0
1434187672,0
1434187674,0
1434187676,0
1434187678,0
1434187680,0
1434187682,0
1434187684,0
1434187686,0
1434187688,0
1434187690,0
1434187692,0
1434187694,0
1434187696,0
1434187698,0
1434187700,0
1434187702,0
1434187704,0
1434187706,0
1434187708,0
1434187710,0
1434187712,0
1434187714,0
1434187716,0
1434187718,0
1434187720,0
1434187722,0
1434187724,0
1434187726,0
1434187728,0
1434187730,0
1434187732,0
1434187734,0
1434187736,0
1434187738,0
1434187740,0
1434187742,0
1434187744,0
1434187746,0
1434187748,0
1434187750,0
1434187752,0
1434187754,0
1434187756,0
1434187758,0
1434187760,0
1434187762,0
1434187764,0
1434187766,0
1434187768,0
1434187770,0
1434187772,0
1434187774,0
1434187776,0
1434187778,0
1434187780,0
1434187782,0
1434187784,0
1434187786,0
1434187788,0
1434187790,0
1434187792,0
1434187794,0
1434187796,0
1434187798,0
1434187800,0
1434187802,0
1434187804,0
1434187806,0
1434187808,0
1434187810,0
1434187812,0
1434187814,0
1434187816,0
1434187818,0
1434187820,0
1434187822,0
1434187824,0
1434187826,0
1434187828,0
1434187830,0
1434187832,0
1434187834,0
1434187836,0
1434187838,0
1434187840,0
1434187842,0
1434187844,0
1434187846,0
1434187848,0
1434187850,0
1434187852,0
1434187854,0
1434187856,0
1434187858,0
1434187860,0
1434187862,0
1434187864,0
1434187866,0
1434187868,0
1434187870,0
1434187872,0
1434187874,0
1434187876,0
1434187878,0
1434187880,0
1434187882,0
1434187884,0
1434187886,0
1434187888,0
1434187890,0
1434187892,0
1434187894,0
1434187896,0
1434187898,0
1434187900,0
1434187902,0
1434187904,0
1434187906,0
1434187908,0
1434187910,0
1434187912,0
1434187914,0
1434187916,0
1434187918,0
1434187920,0
1434187922,0
1434187924,0
1434187926,0
1434187928,0
1434187930,0
