t,value
1434187606,1
1434187608,1
1434187610,1
1434187612,1
1434187614,1
1434187616,1
1434187618,1
1434187620,1
1434187622,1
1434187624,1
1434187626,1
1434187628,1
1434187630,1
1434187632,1
1434187634,1
1434187636,1
1434187638,1
1434187640,1
1434187642,1
1434187644,1
1434187646,1
1434187648,1
1434187650,1
1434187652,1
1434187654,1
1434187656,1
1434187658,1
1434187660,1
1434187662,1
1434187664,1
1434187666,1
1434187668,1
1434187670,1
1434187672,1
1434187674,1
1434187676,1
1434187678,1
1434187680,1
1434187682,1
1434187684,1
1434187686,1
1434187688,1
1434187690,1
1434187692,1
1434187694,1
1434187696,1
1434187698,1
1434187700,1
1434187702,1
1434187704,1
1434187706,1
1434187708,1
1434187710,1
1434187712,1
1434187714,1
1434187716,1
1434187718,1
1434187720,1
1434187722,1
1434187724,1
1434187726,1
1434187728,1
1434187730,1
1434187732,1
1434187734,1
1434187736,1
1434187738,1
1434187740,1
1434187742,1
1434187744,1
1434187746,1
1434187748,1
1434187750,1
1434187752,1
1434187754,1
1434187756,1
1434187758,1
1434187760,1
1434187762,1
1434187764,1
1434187766,1
1434187768,1
1434187770,1
1434187772,1
1434187774,1
1434187776,1
1434187778,1
1434187780,1
1434187782,1
1434187784,1
1434187786,1
1434187788,1
1434187790,1
1434187792,1
1434187794,1
1434187796,1
1434187798,1
1434187800,1
1434187802,1
1434187804,1
1434187806,1
1434187808,1
1434187810,1
1434187812,1
1434187814,1
1434187816,1
1434187818,1
1434187820,1
1434187822,1
1434187824,1
1434187826,1
1434187828,1
1434187830,1
1434187832,1
1434187834,1
1434187836,1
1434187838,1
1434187840,1
1434187842,1
1434187844,1
1434187846,1
1434187848,1
1434187850,1
1434187852,1
1434187854,1
1434187856,1
1434187858,1
1434187860,1
1434187862,1
1434187864,1
1434187866,1
1434187868,1
1434187870,1
1434187872,1
1434187874,1
1434187876,1
1434187878,1
1434187880,1
1434187882,1
1434187884,1
1434187886,1
1434187888,1
1434187890,1
1434187892,1
1434187894,1
1434187896,1
1434187898,1
1434187900,1
1434187902,1
1434187904,1
1434187906,1
1434187908,1
1434187910,1
1434187912,1
1434187914,1
1434187916,1
1434187918,1
1434187920,1
1434187922,1
1434187924,1
1434187926,1
1434187928,1
1434187930,1
1434187932,1
1434187934,1
1434187936,1
1434187938,1
1434187940,1
1434187942,1
1434187944,1
1434187946,1
1434187948,1
1434187950,1
1434187952,1
1434187954,1
1434187956,1
1434187958,1
1434187960,1
1434187962,1
1434187964,1
1434187966,1
1434187968,1
1434187970,1
1434187972,1
1434187974,1
1434187976,1
1434187978,1
1434187980,1
1434187982,1
1434187984,1
1434187986,1
1434187988,1
1434187990,1
1434187992,1
1434187994,1
1434187996,1
1434187998,1
1434188000,1
1434188002,1
1434188004,1
1434188006,1
1434188008,1
1434188010,1
1434188012,1
1434188014,1
1434188016,1
1434188018,1
1434188020,1
1434188022,1
1434188024,1
1434188026,1
1434188028,1
1434188030,1
1434188032,1
1434188034,1
1434188036,1
1434188038,1
1434188040,1
1434188042,1
1434188044,1
1434188046,1
1434188048,1
1434188050,1
1434188052,1
1434188054,1
1434188056,1
1434188058,1
1434188060,1
1434188062,1
1434188064,1
1434188066,1
1434188068,1
1434188070,1
1434188072,1
1434188074,1
1434188076,1
1434188078,1
1434188080,1
1434188082,1
1434188084,1
1434188086,1
1434188088,1
1434188090,1
1434188092,1
1434188094,1
1434188096,1
1434188098,1
1434188100,1
1434188102,1
1434188104,1
1434188106,1
1434188108,1
1434188110,1
1434188112,1
1434188114,1
1434188116,1
1434188118,1
1434188120,1
1434188122,1
1434188124,1
1434188126,1
1434188128,1
1434188130,1
1434188132,1
1434188134,1
1434188136,1
1434188138,1
1434188140,1
1434188142,1
1434188144,1
1434188146,1
1434188148,1
1434188150,1
1434188152,1
1434188154,1
1434188156,1
1434188158,1
1434188160,1
1434188162,1
1434188164,1
1434188166,1
1434188168,1
1434188170,1
1434188172,1
1434188174,1
1434188176,1
1434188178,1
1434188180,1
1434188182,1
1434188184,1
1434188186,1
1434188188,1
1434188190,1
1434188192,1
1434188194,1
1434188196,1
1434188198,1
1434188200,1
1434188202,1
1434188204,1
1434188206,1
1434188208,1
1434188210,1
1434188212,1
1434188214,1
1434188216,1
1434188218,1
1434188220,1
1434188222,1
1434188224,1
1434188226,1
1434188228,1
1434188230,1
1434188232,1
1434188234,1
1434188236,1
1434188238,1
1434188240,1
1434188242,1
1434188244,1
1434188246,1
1434188248,1
1434188250,1
1434188252,1
1434188254,1
1434188256,1
1434188258,1
1434188260,1
1434188262,1
1434188264,1
1434188266,1
1434188268,1
1434188270,1
1434188272,1
1434188274,1
1434188276,1
1434188278,1
1434188280,1
1434188282,1
1434188284,1
1434188286,1
1434188288,1
1434188290,1
1434188292,1
1434188294,1
1434188296,1
1434188298,1
1434188300,1
1434188302,1
1434188304,1
1434188306,1
1434188308,1
1434188310,1
1434188312,1
1434188314,1
