"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W0SCR.log",,,,"Date:","13 Jun 2015 03:42:34 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.347,1.589,81.552,9.228,0.005,0.280,668868.082,620504.541,0.0,0.0,33701.429,88347.247,765.113,1024.172
11.230,5.348,45.989,36.898,0.0,0.535,1519616.0,32768.0,0.0,0.0,294912.0,0.0,931.0,1458.0
0.513,0.0,25.128,74.359,0.0,0.0,5890048.0,217088.0,0.0,0.0,86016.0,0.0,639.0,929.0
1.015,0.0,0.0,98.985,0.0,0.0,5050368.0,0.0,527.0,180.0,585728.0,0.0,677.0,1037.0
6.533,1.508,4.020,87.940,0.0,0.0,2056192.0,122880.0,0.0,0.0,999424.0,0.0,769.0,1104.0
4.545,0.505,9.596,85.354,0.0,0.0,1265664.0,0.0,64.0,0.0,1028096.0,0.0,794.0,1219.0
6.599,1.015,13.198,78.680,0.0,0.508,3231744.0,0.0,527.0,110.0,2818048.0,0.0,900.0,1390.0
6.633,1.020,0.510,91.837,0.0,0.0,3010560.0,159744.0,0.0,0.0,2371584.0,0.0,982.0,1393.0
10.500,3.0,0.0,85.500,0.0,1.0,3399680.0,0.0,64.0,0.0,2670592.0,0.0,856.0,1276.0
3.535,1.010,0.0,95.455,0.0,0.0,1454080.0,73728.0,527.0,180.0,1343488.0,0.0,775.0,1158.0
6.091,1.523,4.061,88.325,0.0,0.0,1683456.0,0.0,0.0,0.0,1323008.0,0.0,673.0,1042.0
3.535,1.010,11.111,83.333,0.0,1.010,2367488.0,0.0,357.0,70.0,1851392.0,0.0,874.0,1314.0
5.076,0.508,4.569,89.340,0.0,0.508,1118208.0,4096.0,527.0,180.0,774144.0,0.0,880.0,1043.0
3.590,0.0,6.667,89.744,0.0,0.0,1699840.0,0.0,0.0,0.0,1503232.0,0.0,831.0,1236.0
10.101,2.020,40.909,46.970,0.0,0.0,2056192.0,69632.0,0.0,0.0,73728.0,0.0,833.0,1114.0
10.660,1.015,6.091,81.726,0.0,0.508,1388544.0,0.0,527.0,174.0,815104.0,0.0,911.0,1131.0
6.091,1.015,3.046,89.340,0.0,0.508,704512.0,0.0,0.0,0.0,274432.0,0.0,699.0,964.0
10.714,1.531,32.143,55.612,0.0,0.0,1597440.0,0.0,128.0,462.0,598016.0,0.0,930.0,1286.0
34.518,3.046,36.548,24.873,0.0,1.015,1695744.0,0.0,527.0,110.0,16384.0,0.0,941.0,1263.0
20.202,1.010,5.051,73.737,0.0,0.0,1105920.0,0.0,0.0,0.0,761856.0,0.0,814.0,1249.0
24.747,1.515,25.253,48.485,0.0,0.0,651264.0,57344.0,224.0,335.0,69632.0,0.0,637.0,873.0
23.590,4.615,29.744,41.026,0.0,1.026,3416064.0,0.0,655.0,732.0,557056.0,0.0,1008.0,1412.0
40.404,6.566,38.384,14.141,0.0,0.505,2088960.0,0.0,0.0,0.0,28672.0,0.0,1164.0,1438.0
29.592,6.633,33.163,30.612,0.0,0.0,2056192.0,0.0,128.0,520.0,565248.0,0.0,1397.0,1802.0
51.031,4.639,23.196,20.619,0.0,0.515,1744896.0,0.0,975.0,1832.0,16384.0,0.0,1626.0,2041.0
43.216,3.518,22.613,29.648,0.0,1.005,1892352.0,110592.0,320.0,760.0,589824.0,0.0,1348.0,1780.0
51.0,7.0,5.500,27.500,0.0,9.0,7454720.0,0.0,701.0,1062.0,16384.0,0.0,3847.0,4446.0
2.793,7.263,41.899,46.369,0.0,1.676,9670656.0,45056.0,527.0,110.0,524288.0,0.0,4150.0,5343.0
1.657,2.210,39.779,55.801,0.0,0.552,5939200.0,8704000.0,826.0,0.0,73728.0,0.0,2954.0,3551.0
1.042,1.042,4.688,93.229,0.0,0.0,1937408.0,8433664.0,128.0,0.0,442368.0,0.0,1593.0,1837.0
1.596,2.128,11.170,85.106,0.0,0.0,3887104.0,5361664.0,655.0,110.0,176128.0,0.0,2297.0,2536.0
2.186,3.279,35.519,57.377,0.0,1.639,6447104.0,12095488.0,0.0,0.0,524288.0,0.0,3261.0,3849.0
3.825,13.115,38.251,43.716,0.0,1.093,2768896.0,27308032.0,0.0,0.0,28672.0,0.0,2249.0,2351.0
2.538,2.030,11.675,83.756,0.0,0.0,536576.0,6324224.0,597.0,936.0,475136.0,0.0,980.0,1289.0
4.145,1.036,41.451,53.368,0.0,0.0,360448.0,18874368.0,0.0,0.0,131072.0,0.0,914.0,1170.0
14.721,1.523,11.168,72.081,0.0,0.508,421888.0,16777216.0,64.0,218.0,98304.0,0.0,1106.0,1317.0
3.077,4.103,11.795,81.026,0.0,0.0,352256.0,16855040.0,719.0,180.0,352256.0,0.0,893.0,1124.0
5.102,1.020,22.959,70.408,0.0,0.510,1134592.0,13324288.0,96.0,0.0,1069056.0,0.0,1099.0,1380.0
24.365,2.538,24.873,48.223,0.0,0.0,831488.0,0.0,0.0,0.0,503808.0,0.0,1059.0,1411.0
6.599,4.061,12.690,76.142,0.0,0.508,1421312.0,0.0,2632.0,3257.0,1122304.0,0.0,1278.0,1830.0
26.667,6.154,46.667,20.513,0.0,0.0,2490368.0,98304.0,192.0,1164.0,0.0,0.0,1242.0,1586.0
46.193,2.538,25.888,25.381,0.0,0.0,1888256.0,0.0,485.0,628.0,638976.0,0.0,1232.0,1821.0
37.056,3.553,32.995,25.888,0.0,0.508,1597440.0,0.0,783.0,1774.0,16384.0,0.0,1320.0,1970.0
37.688,6.533,41.709,13.065,0.0,1.005,1232896.0,0.0,1600.0,9360.0,589824.0,0.0,1344.0,2040.0
1.546,0.515,97.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,1166.0
1.538,0.513,94.872,3.077,0.0,0.0,589824.0,0.0,591.0,110.0,589824.0,0.0,772.0,1242.0
2.564,1.026,94.359,2.051,0.0,0.0,8192.0,163840.0,0.0,0.0,0.0,0.0,826.0,1220.0
4.639,1.546,89.691,4.124,0.0,0.0,774144.0,0.0,256.0,1536.0,589824.0,0.0,971.0,1368.0
3.061,1.531,94.898,0.510,0.0,0.0,16384.0,0.0,591.0,110.0,16384.0,0.0,886.0,1236.0
1.031,0.515,89.691,8.763,0.0,0.0,290816.0,0.0,0.0,0.0,290816.0,0.0,894.0,1265.0
3.061,0.510,96.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.0,1164.0
1.020,0.510,93.878,4.592,0.0,0.0,61440.0,73728.0,527.0,110.0,61440.0,0.0,833.0,1176.0
16.327,2.041,79.592,1.531,0.510,0.0,4096.0,0.0,1048.0,3663.0,0.0,0.0,938.0,1534.0
6.218,1.036,86.528,6.218,0.0,0.0,102400.0,0.0,1367.0,2076.0,86016.0,0.0,1026.0,1440.0
3.553,0.508,89.340,6.599,0.0,0.0,106496.0,0.0,1047.0,593.0,110592.0,0.0,831.0,1267.0
7.538,1.005,85.427,5.528,0.0,0.503,167936.0,0.0,2434.0,10893.0,77824.0,0.0,823.0,1304.0
10.363,1.554,82.383,5.181,0.0,0.518,45056.0,77824.0,61580.0,3216825.0,0.0,0.0,2094.0,1499.0
4.233,3.704,85.714,5.291,0.0,1.058,139264.0,0.0,146720.0,12337604.0,139264.0,0.0,3487.0,1580.0
2.688,3.226,93.011,0.538,0.0,0.538,24576.0,0.0,109090.0,12336646.0,24576.0,0.0,3043.0,1484.0
2.139,2.674,94.118,1.070,0.0,0.0,8192.0,0.0,160914.0,12336998.0,8192.0,0.0,3454.0,1344.0
4.787,2.660,80.851,11.170,0.0,0.532,311296.0,0.0,131907.0,12335724.0,311296.0,0.0,3444.0,1477.0
