"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W32B1R.log",,,,"Date:","13 Jun 2015 02:24:01 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
5.512,1.269,84.958,8.103,0.004,0.152,494507.000,482176.513,0.0,0.0,3763.662,20212.791,469.596,647.260
15.344,5.291,40.212,38.624,0.0,0.529,1413120.0,32768.0,0.0,0.0,24576.0,0.0,919.0,1456.0
9.184,2.551,45.918,42.347,0.0,0.0,11968512.0,20480.0,0.0,0.0,0.0,0.0,883.0,1212.0
28.934,3.046,43.147,24.873,0.0,0.0,2899968.0,77824.0,0.0,0.0,0.0,0.0,938.0,1177.0
18.182,2.525,47.980,31.313,0.0,0.0,2043904.0,0.0,0.0,0.0,0.0,0.0,775.0,1062.0
18.182,2.020,43.434,35.859,0.0,0.505,2469888.0,0.0,0.0,0.0,0.0,0.0,888.0,1197.0
12.500,1.0,48.0,38.0,0.0,0.500,1507328.0,0.0,128.0,462.0,0.0,0.0,781.0,1040.0
27.136,4.020,39.196,29.648,0.0,0.0,2367488.0,0.0,0.0,0.0,0.0,0.0,757.0,925.0
42.714,2.513,36.683,18.090,0.0,0.0,1507328.0,0.0,224.0,335.0,0.0,0.0,873.0,1260.0
44.670,4.569,26.904,22.843,0.0,1.015,3198976.0,24576.0,192.0,622.0,0.0,0.0,948.0,1336.0
45.876,7.216,36.598,9.794,0.0,0.515,2633728.0,0.0,64.0,260.0,0.0,0.0,1252.0,1655.0
33.500,7.0,39.500,19.500,0.0,0.500,2920448.0,0.0,256.0,1350.0,0.0,0.0,1399.0,1837.0
74.619,5.584,8.122,10.660,0.0,1.015,2146304.0,0.0,448.0,1328.0,0.0,0.0,1488.0,1948.0
46.269,5.970,13.930,25.373,0.0,8.458,6307840.0,0.0,701.0,978.0,0.0,0.0,3446.0,3991.0
7.429,4.0,48.571,38.857,0.0,1.143,9265152.0,81920.0,0.0,0.0,0.0,0.0,3510.0,5199.0
2.210,3.867,45.856,48.066,0.0,0.0,5718016.0,17309696.0,0.0,0.0,0.0,0.0,3279.0,3681.0
1.667,6.667,49.444,41.667,0.0,0.556,8093696.0,6029312.0,0.0,0.0,0.0,0.0,3408.0,4624.0
1.639,5.464,46.448,45.902,0.0,0.546,6127616.0,12873728.0,0.0,0.0,0.0,0.0,2576.0,3702.0
3.590,12.821,2.564,81.026,0.0,0.0,266240.0,29360128.0,64.0,346.0,0.0,0.0,951.0,1076.0
3.349,0.478,49.761,46.411,0.0,0.0,94208.0,27443200.0,0.0,0.0,0.0,0.0,940.0,1024.0
1.099,1.099,21.978,75.824,0.0,0.0,299008.0,18747392.0,0.0,0.0,0.0,0.0,729.0,848.0
14.141,1.515,30.808,53.535,0.0,0.0,782336.0,21712896.0,64.0,218.0,0.0,0.0,1025.0,1278.0
36.181,2.513,25.126,36.181,0.0,0.0,1085440.0,0.0,0.0,0.0,413696.0,0.0,1150.0,1510.0
9.231,1.026,72.308,17.436,0.0,0.0,778240.0,0.0,0.0,0.0,774144.0,0.0,879.0,1303.0
