Host:,dell01,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
6.228,1.302,86.705,5.5,0.004,0.262,678874.407,373697.515,0,0,5786.765,19989.804,639.628,816.362
53.571,7.143,39.286,0,0,0,0,32768,3691,5728,0,0,966,1399
50.505,7.576,34.848,6.566,0,0.505,245760,106496,527,110,0,0,892,1117
81.407,3.518,15.075,0,0,0,0,0,128,462,0,0,1007,1250
67.005,6.091,26.904,0,0,0,0,0,416,1021,0,0,829,1188
72.362,7.035,20.101,0,0,0.503,0,0,719,588,0,0,1247,1807
63.021,6.25,19.271,10.417,0,1.042,5332992,0,856,3292,0,0,1873,3005
2.825,4.52,44.068,47.458,0,1.13,9916416,409600,192,860,0,0,2823,4623
2.186,3.825,46.995,46.448,0,0.546,5853184,16809984,527,110,0,0,3341,3745
1.639,2.186,43.716,51.366,0,1.093,4493312,16945152,0,0,0,0,2682,3022
1.117,5.587,45.81,46.927,0,0.559,7094272,14610432,357,70,0,0,3331,4224
22.872,19.681,25,30.851,0,1.596,3014656,24793088,591,174,0,0,2453,2736
67.839,6.03,6.03,18.593,0,1.508,4096,30334976,2233,3797,0,901120,1434,1774
91.414,4.04,0,3.535,0,1.01,12288,15409152,192,866,0,0,1245,1468
57.286,6.533,23.618,12.563,0,0,1425408,0,911,2438,0,0,1364,2012
25.381,2.538,71.066,1.015,0,0,90112,0,1472,10044,0,0,999,1654
1.523,1.015,97.462,0,0,0,0,0,320,1594,0,0,680,968
3.046,1.015,95.939,0,0,0,0,3559424,527,110,0,0,780,1054
1.523,1.015,71.574,25.888,0,0,0,12271616,0,0,0,0,894,986
2.03,0.508,97.462,0,0,0,0,0,0,0,0,0,733,1039
6.599,1.015,90.355,2.03,0,0,45056,0,527,110,0,0,736,1233
2.513,1.005,96.482,0,0,0,0,0,576,3094,0,0,719,1038
2.041,0,97.959,0,0,0,0,0,0,0,0,0,680,1010
