"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W32B1R.log",,,,"Date:","13 Jun 2015 02:19:25 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.777,0.322,90.395,0.409,0.000,0.097,428129.940,261267.890,0.0,0.0,0.0,3.693,536.295,301.562


"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W32B1R.log",,,,"Date:","13 Jun 2015 02:24:00 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
8.762,0.323,90.410,0.408,0.000,0.097,427319.819,260776.608,0.0,0.0,0.0,3.685,536.198,301.702
0.495,0.743,98.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,362.0
0.746,0.746,98.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,368.0
1.225,1.225,97.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,366.0
1.471,0.980,97.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,367.0
0.990,0.990,98.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,377.0
2.445,0.489,96.822,0.244,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,498.0,387.0
1.478,0.739,97.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,358.0
0.248,1.485,98.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,365.0
0.990,0.495,98.515,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,484.0,378.0
0.988,1.235,97.778,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,490.0,379.0
2.211,0.246,97.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,370.0
0.743,0.743,98.267,0.248,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,494.0,381.0
1.956,0.733,97.311,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,487.0,373.0
1.241,0.496,98.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,372.0
