Host:,pi00,,,,User:,daniel,,,,,,,
Cmdline:,dstat --output str_1W32B1R.log,,,,Date:,13 Jun 2015 02:55:05 PDT,,,,,,,
,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,net/total,,paging,,system,
usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
9.082,0.349,90.036,0.432,0,0.102,442786.026,279352.33,0,0,0,3.638,542.541,308.535
0.988,0.741,98.272,0,0,0,0,0,0,0,0,0,505,437
0.249,0.995,98.756,0,0,0,0,0,92,543,0,0,517,469
0.739,1.478,97.783,0,0,0,0,65536,92,0,0,0,535,470
0.499,0.748,98.753,0,0,0,0,0,46,0,0,0,511,435
1.961,0.735,97.304,0,0,0,0,0,92,543,0,0,528,481
1.232,1.478,97.044,0.246,0,0,0,49152,0,0,0,0,535,485
1.474,0.983,97.543,0,0,0,0,0,0,0,0,0,515,451
1.474,0.983,97.543,0,0,0,0,0,92,543,0,0,521,462
1.467,1.711,96.822,0,0,0,0,0,52,365,0,0,521,465
0.995,0.498,98.507,0,0,0,0,0,0,0,0,0,519,428
2.469,0.741,96.543,0.247,0,0,303104,0,2097,699,0,0,571,490
14.815,4.444,70.123,10.617,0,0,12599296,155648,52,1789,0,0,2399,2272
17.618,3.474,67.742,11.166,0,0,18817024,0,0,0,0,0,1160,1059
25.735,1.716,72.549,0,0,0,0,0,92,543,0,0,650,536
23.716,3.912,71.638,0.733,0,0,802816,0,76,102,0,0,831,778
26.895,2.2,67.971,2.934,0,0,3080192,0,0,0,0,0,1579,1333
25.124,2.488,70.398,1.99,0,0,3039232,155648,92,543,0,0,1314,1186
20.948,2.494,71.571,4.988,0,0,2220032,204800,0,0,0,0,1372,1246
22.573,3.641,69.903,3.883,0,0,3645440,0,0,0,0,0,1507,1365
27.094,2.217,69.212,1.478,0,0,2490368,0,184,593,0,0,1035,898
25,4.412,67.892,2.696,0,0,2727936,0,0,0,0,0,1242,1230
26.617,4.478,65.672,3.234,0,0,3661824,0,142,93,0,0,1507,1426
24.384,2.463,70.443,2.709,0,0,3268608,32768,138,543,0,0,1382,1272
34.293,2.638,61.391,1.679,0,0,1974272,0,52,365,0,0,1289,1062
