"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W_0SCR.log",,,,"Date:","13 Jun 2015 03:23:50 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
6.627,1.427,84.214,7.468,0.004,0.260,638095.081,497729.761,0.0,0.0,15455.964,53391.217,709.238,941.159
11.299,8.475,45.763,33.333,0.0,1.130,1875968.0,32768.0,0.0,0.0,360448.0,0.0,1120.0,1665.0
0.510,0.510,8.673,90.306,0.0,0.0,2396160.0,0.0,527.0,110.0,421888.0,0.0,722.0,1102.0
1.523,0.0,25.381,73.096,0.0,0.0,4030464.0,0.0,0.0,0.0,606208.0,0.0,786.0,1169.0
0.508,0.508,34.010,64.467,0.0,0.508,6709248.0,94208.0,64.0,0.0,659456.0,0.0,856.0,1223.0
7.179,0.513,6.667,85.641,0.0,0.0,3760128.0,61440.0,527.0,110.0,2289664.0,0.0,1009.0,1434.0
2.551,0.0,3.061,93.878,0.0,0.510,2146304.0,0.0,0.0,0.0,1839104.0,0.0,809.0,1280.0
4.103,0.513,0.0,95.385,0.0,0.0,2482176.0,0.0,64.0,0.0,2064384.0,0.0,916.0,1459.0
7.071,1.515,10.606,79.798,0.0,1.010,2764800.0,0.0,527.0,110.0,2326528.0,0.0,925.0,1453.0
9.596,2.525,15.152,72.727,0.0,0.0,2830336.0,0.0,0.0,0.0,1753088.0,0.0,730.0,1099.0
24.490,4.082,40.816,30.612,0.0,0.0,1896448.0,385024.0,612.0,70.0,32768.0,0.0,831.0,1166.0
15.152,2.020,41.919,40.909,0.0,0.0,2142208.0,0.0,527.0,110.0,155648.0,0.0,900.0,1247.0
18.274,2.538,44.162,34.518,0.0,0.508,2330624.0,0.0,0.0,0.0,16384.0,0.0,1064.0,1320.0
5.102,1.020,23.469,69.898,0.0,0.510,1118208.0,0.0,128.0,462.0,462848.0,0.0,857.0,1188.0
21.106,3.518,39.196,35.678,0.0,0.503,2351104.0,0.0,527.0,110.0,32768.0,0.0,949.0,1261.0
38.660,1.546,36.082,23.196,0.0,0.515,1949696.0,90112.0,0.0,64.0,262144.0,0.0,989.0,1322.0
42.051,4.103,26.154,27.179,0.0,0.513,3497984.0,0.0,288.0,399.0,32768.0,0.0,1104.0,1395.0
41.294,6.468,37.313,14.428,0.0,0.498,2600960.0,0.0,655.0,732.0,294912.0,0.0,1175.0,1453.0
41.451,7.254,30.052,20.725,0.0,0.518,2441216.0,0.0,128.0,414.0,184320.0,0.0,1585.0,2223.0
32.836,5.473,23.383,37.811,0.0,0.498,2539520.0,0.0,468.0,1260.0,716800.0,0.0,1386.0,1835.0
60.204,6.633,19.898,12.245,0.0,1.020,1753088.0,114688.0,1017.0,2008.0,81920.0,0.0,1690.0,2216.0
46.040,6.931,9.901,29.703,0.0,7.426,6598656.0,0.0,408.0,886.0,442368.0,0.0,3785.0,3971.0
5.618,6.180,42.135,43.258,0.0,2.809,9699328.0,0.0,0.0,0.0,49152.0,0.0,4527.0,5346.0
1.538,1.026,17.949,78.974,0.0,0.513,1318912.0,12902400.0,1121.0,768.0,565248.0,0.0,1407.0,1640.0
2.222,5.556,43.889,48.333,0.0,0.0,6758400.0,12808192.0,1274.0,1158.0,65536.0,0.0,3469.0,4199.0
0.549,4.396,21.978,71.429,0.0,1.648,6242304.0,8495104.0,697.0,282.0,458752.0,0.0,3102.0,3747.0
1.531,1.020,36.735,60.714,0.0,0.0,823296.0,22507520.0,803.0,302.0,155648.0,0.0,1256.0,1396.0
2.778,5.0,32.222,57.778,0.0,2.222,8982528.0,528384.0,170.0,64.0,1355776.0,0.0,3851.0,4812.0
2.841,6.250,47.727,43.182,0.0,0.0,7598080.0,8024064.0,256.0,1216.0,32768.0,0.0,3501.0,4500.0
5.102,6.633,6.633,80.612,0.0,1.020,335872.0,14942208.0,591.0,456.0,229376.0,0.0,1046.0,1286.0
3.553,1.015,38.579,56.853,0.0,0.0,176128.0,24383488.0,0.0,64.0,65536.0,0.0,921.0,1097.0
27.979,4.145,26.943,40.415,0.0,0.518,1912832.0,3481600.0,64.0,218.0,450560.0,0.0,1355.0,1910.0
31.188,2.475,27.723,38.119,0.0,0.495,1466368.0,0.0,2504.0,2689.0,200704.0,0.0,1292.0,1771.0
24.870,5.699,47.150,22.280,0.0,0.0,3047424.0,0.0,256.0,1414.0,262144.0,0.0,1267.0,1715.0
55.882,5.882,19.608,18.137,0.0,0.490,2142208.0,0.0,128.0,558.0,0.0,0.0,1349.0,1881.0
16.327,2.041,35.204,45.918,0.0,0.510,1212416.0,12824576.0,591.0,110.0,0.0,0.0,1265.0,1505.0
26.396,3.553,26.396,43.655,0.0,0.0,1441792.0,13357056.0,554.0,1940.0,24576.0,0.0,1451.0,1984.0
28.283,3.030,61.616,6.061,0.0,1.010,753664.0,0.0,1898.0,9142.0,196608.0,0.0,1186.0,1759.0
0.515,0.515,98.969,0.0,0.0,0.0,32768.0,0.0,591.0,110.0,81920.0,0.0,784.0,1185.0
2.041,1.531,94.898,1.531,0.0,0.0,557056.0,0.0,0.0,0.0,507904.0,0.0,799.0,1248.0
6.667,2.051,88.205,3.077,0.0,0.0,135168.0,176128.0,357.0,70.0,196608.0,0.0,940.0,1407.0
3.109,0.518,96.373,0.0,0.0,0.0,458752.0,0.0,847.0,1810.0,393216.0,0.0,860.0,1267.0
1.036,0.0,98.964,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,77824.0,0.0,757.0,1142.0
3.061,0.510,90.306,5.612,0.0,0.510,688128.0,0.0,0.0,0.0,606208.0,0.0,1021.0,1365.0
1.515,0.505,95.960,2.020,0.0,0.0,102400.0,0.0,889.0,892.0,131072.0,0.0,843.0,1139.0
8.718,1.026,88.205,2.051,0.0,0.0,458752.0,0.0,0.0,0.0,393216.0,0.0,952.0,1505.0
14.872,2.051,80.513,2.564,0.0,0.0,69632.0,73728.0,1268.0,4363.0,114688.0,0.0,959.0,1384.0
3.518,1.508,90.452,3.518,0.0,1.005,516096.0,0.0,1970.0,1482.0,466944.0,0.0,820.0,1313.0
7.538,1.508,88.945,2.010,0.0,0.0,331776.0,0.0,2371.0,10692.0,294912.0,0.0,852.0,1349.0
9.184,4.082,82.143,4.082,0.0,0.510,446464.0,0.0,8935.0,1398.0,360448.0,0.0,1970.0,1551.0
6.806,2.094,89.529,0.0,0.0,1.571,65536.0,0.0,129607.0,11637331.0,131072.0,0.0,3114.0,1537.0
5.263,2.105,80.526,11.579,0.0,0.526,491520.0,77824.0,149517.0,12337060.0,425984.0,0.0,3323.0,1417.0
2.674,2.139,94.118,0.535,0.0,0.535,0.0,0.0,122886.0,12335406.0,65536.0,0.0,3002.0,1274.0
6.878,1.058,90.476,1.587,0.0,0.0,557056.0,0.0,109861.0,12336896.0,491520.0,0.0,3049.0,1377.0
2.688,1.075,95.699,0.0,0.0,0.538,98304.0,0.0,132300.0,12338304.0,196608.0,0.0,3142.0,1302.0
10.938,3.125,84.375,1.042,0.0,0.521,491520.0,0.0,112637.0,12336856.0,393216.0,0.0,3210.0,1669.0
2.139,2.139,89.840,5.348,0.0,0.535,81920.0,73728.0,163542.0,12337664.0,131072.0,0.0,3265.0,1299.0
4.712,2.618,91.099,0.524,0.0,1.047,458752.0,0.0,120890.0,12336786.0,409600.0,0.0,3034.0,1381.0
3.704,2.116,93.122,0.0,0.0,1.058,32768.0,0.0,136500.0,12336786.0,98304.0,0.0,3370.0,1257.0
3.093,0.515,94.845,1.546,0.0,0.0,557056.0,0.0,75287.0,6460412.0,491520.0,0.0,1166.0,1278.0
4.615,1.538,92.821,0.0,0.0,1.026,65536.0,36864.0,38920.0,2650944.0,131072.0,0.0,2686.0,1406.0
5.236,2.618,89.005,1.571,0.0,1.571,458752.0,0.0,148963.0,12337060.0,393216.0,0.0,3211.0,1371.0
2.051,1.026,92.821,3.590,0.0,0.513,65536.0,81920.0,112107.0,7511992.0,131072.0,0.0,1490.0,1196.0
2.564,1.026,93.846,2.564,0.0,0.0,491520.0,0.0,0.0,0.0,425984.0,0.0,905.0,1202.0
1.531,0.510,97.449,0.510,0.0,0.0,98304.0,0.0,64.0,0.0,163840.0,0.0,773.0,1117.0
13.918,1.546,83.505,0.0,0.0,1.031,507904.0,466944.0,0.0,0.0,442368.0,0.0,1042.0,1486.0
50.0,1.515,48.485,0.0,0.0,0.0,65536.0,0.0,1003.0,3932.0,131072.0,0.0,1244.0,1335.0
50.754,1.005,42.211,5.025,0.0,1.005,458752.0,102400.0,64.0,0.0,393216.0,0.0,1278.0,1421.0
10.204,0.510,89.286,0.0,0.0,0.0,131072.0,0.0,0.0,0.0,163840.0,0.0,912.0,1161.0
4.061,1.523,93.909,0.0,0.0,0.508,442368.0,0.0,0.0,0.0,409600.0,0.0,781.0,1201.0
3.109,1.036,95.855,0.0,0.0,0.0,81920.0,294912.0,357.0,70.0,131072.0,0.0,836.0,1301.0
3.553,1.015,86.802,8.629,0.0,0.0,749568.0,0.0,1840.0,4216.0,614400.0,0.0,1017.0,1559.0
1.020,0.510,95.408,2.551,0.0,0.510,65536.0,126976.0,234.0,904.0,131072.0,0.0,665.0,1026.0
10.101,2.020,86.869,1.010,0.0,0.0,491520.0,0.0,0.0,0.0,425984.0,0.0,722.0,1160.0
2.564,1.026,95.385,1.026,0.0,0.0,98304.0,0.0,527.0,110.0,131072.0,0.0,824.0,1222.0
3.093,1.031,94.845,1.031,0.0,0.0,491520.0,4096.0,2139.0,771.0,442368.0,0.0,849.0,1392.0
2.030,0.508,96.954,0.508,0.0,0.0,65536.0,0.0,1309.0,3806.0,131072.0,0.0,825.0,1112.0
2.073,0.518,90.674,6.736,0.0,0.0,507904.0,86016.0,0.0,0.0,442368.0,0.0,805.0,1301.0
1.036,1.036,97.409,0.518,0.0,0.0,81920.0,0.0,0.0,0.0,131072.0,0.0,873.0,1271.0
3.061,2.041,94.388,0.510,0.0,0.0,475136.0,0.0,0.0,0.0,425984.0,0.0,873.0,1217.0
4.124,0.515,95.361,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,81920.0,0.0,882.0,1363.0
13.265,0.510,82.143,4.082,0.0,0.0,524288.0,0.0,1565.0,4452.0,475136.0,0.0,947.0,1285.0
9.744,1.026,87.179,2.051,0.0,0.0,65536.0,77824.0,0.0,0.0,131072.0,0.0,828.0,1182.0
2.041,1.020,95.918,0.510,0.0,0.510,458752.0,0.0,0.0,0.0,393216.0,0.0,795.0,1218.0
0.518,0.518,98.446,0.518,0.0,0.0,0.0,0.0,64.0,0.0,81920.0,0.0,820.0,1158.0
4.124,0.515,92.784,2.577,0.0,0.0,655360.0,0.0,921.0,427.0,573440.0,0.0,914.0,1493.0
7.179,3.077,87.179,2.564,0.0,0.0,212992.0,0.0,3594.0,5218.0,131072.0,0.0,964.0,1250.0
2.073,1.036,87.047,9.845,0.0,0.0,458752.0,73728.0,365.0,2442.0,393216.0,0.0,808.0,1279.0
1.508,1.005,96.482,0.503,0.0,0.503,49152.0,0.0,0.0,0.0,98304.0,0.0,747.0,1194.0
3.571,3.061,92.857,0.510,0.0,0.0,540672.0,0.0,1015.0,583.0,491520.0,0.0,954.0,1316.0
20.812,2.030,74.112,3.046,0.0,0.0,327680.0,0.0,0.0,0.0,196608.0,0.0,1180.0,1926.0
49.490,3.571,44.898,0.510,0.0,1.531,466944.0,0.0,231501.0,143689.0,393216.0,0.0,1887.0,3240.0
39.698,2.513,54.271,3.015,0.0,0.503,221184.0,98304.0,100665.0,54975.0,131072.0,0.0,1426.0,2260.0
2.564,1.026,92.821,3.590,0.0,0.0,430080.0,0.0,4595.0,47955.0,360448.0,0.0,923.0,1296.0
2.041,0.0,97.449,0.510,0.0,0.0,98304.0,0.0,677.0,469.0,163840.0,0.0,803.0,1135.0
15.578,1.508,80.905,1.508,0.0,0.503,458752.0,192512.0,1714.0,397.0,393216.0,0.0,993.0,1492.0
29.231,0.513,69.231,1.026,0.0,0.0,106496.0,0.0,1519.0,3706.0,106496.0,0.0,766.0,1262.0
4.103,1.538,84.103,10.256,0.0,0.0,475136.0,135168.0,5750.0,3334.0,475136.0,0.0,997.0,1460.0
2.051,1.026,96.410,0.513,0.0,0.0,32768.0,0.0,5859.0,3112.0,65536.0,0.0,858.0,1257.0
5.051,3.030,89.394,2.020,0.0,0.505,503808.0,0.0,5502.0,3034.0,466944.0,0.0,985.0,1454.0
24.490,2.041,72.449,0.510,0.0,0.510,135168.0,196608.0,5689.0,2966.0,196608.0,0.0,1222.0,1943.0
12.821,1.538,84.615,0.513,0.0,0.513,475136.0,0.0,16982.0,93191.0,409600.0,0.0,1151.0,1651.0
2.577,0.515,94.845,2.062,0.0,0.0,65536.0,110592.0,5337.0,2901.0,131072.0,0.0,849.0,1294.0
3.077,2.051,93.333,1.538,0.0,0.0,458752.0,0.0,5340.0,2904.0,393216.0,0.0,978.0,1389.0
3.077,0.513,96.410,0.0,0.0,0.0,65536.0,0.0,4596.0,2288.0,131072.0,0.0,836.0,1293.0
5.612,1.020,92.347,1.020,0.0,0.0,524288.0,311296.0,6864.0,3192.0,458752.0,0.0,1044.0,1448.0
15.979,1.546,82.474,0.0,0.0,0.0,147456.0,0.0,4069.0,2348.0,229376.0,0.0,1128.0,1581.0
72.727,5.051,21.717,0.0,0.0,0.505,425984.0,0.0,561642.0,92939.0,344064.0,0.0,2382.0,3703.0
2.551,1.531,93.367,2.551,0.0,0.0,196608.0,122880.0,210988.0,42442.0,262144.0,0.0,870.0,1351.0
5.584,2.538,91.371,0.508,0.0,0.0,458752.0,0.0,4239.0,2422.0,393216.0,0.0,1050.0,1413.0
16.244,1.015,82.234,0.0,0.0,0.508,65536.0,36864.0,5867.0,3014.0,114688.0,0.0,1187.0,1658.0
25.773,2.062,71.649,0.515,0.0,0.0,491520.0,0.0,427623.0,85766.0,442368.0,0.0,1817.0,2872.0
2.525,2.525,94.949,0.0,0.0,0.0,98304.0,0.0,5638.0,4090.0,131072.0,0.0,895.0,1351.0
5.528,2.010,88.442,3.518,0.0,0.503,458752.0,106496.0,4532.0,2352.0,425984.0,0.0,942.0,1334.0
3.061,1.020,95.408,0.510,0.0,0.0,81920.0,0.0,4011.0,2396.0,131072.0,0.0,906.0,1277.0
12.183,2.030,85.279,0.0,0.0,0.508,507904.0,0.0,6827.0,3480.0,458752.0,0.0,1195.0,1888.0
18.090,3.518,77.889,0.503,0.0,0.0,131072.0,0.0,428879.0,79266.0,196608.0,0.0,1491.0,2404.0
5.076,2.538,91.878,0.0,0.0,0.508,393216.0,0.0,5504.0,3042.0,327680.0,0.0,977.0,1442.0
