"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output str_1W_0SCR.log",,,,"Date:","13 Jun 2015 03:23:46 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
9.054,0.359,90.048,0.436,0.000,0.102,438426.635,279832.973,0.0,0.0,0.0,3.596,544.801,312.833
0.744,0.496,98.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,466.0
1.232,0.985,97.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,445.0
1.724,0.493,97.783,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,516.0,455.0
0.990,0.990,97.772,0.248,0.0,0.0,0.0,73728.0,0.0,0.0,0.0,0.0,525.0,442.0
1.238,0.743,98.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,437.0
1.716,0.980,97.304,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,526.0,477.0
1.238,0.495,98.267,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,516.0,457.0
1.232,1.478,97.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,459.0
1.232,1.232,97.537,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,524.0,474.0
2.184,1.214,96.359,0.243,0.0,0.0,0.0,24576.0,46.0,0.0,0.0,0.0,533.0,463.0
1.481,0.247,98.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,460.0
0.744,1.241,98.015,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,525.0,471.0
0.495,1.485,98.020,0.0,0.0,0.0,0.0,0.0,289.0,365.0,0.0,0.0,522.0,455.0
2.200,0.733,97.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,433.0
1.478,1.232,97.291,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,530.0,487.0
1.711,1.222,97.066,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,524.0,459.0
0.737,1.966,97.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,445.0
1.728,0.494,97.778,0.0,0.0,0.0,0.0,65536.0,92.0,543.0,0.0,0.0,541.0,465.0
1.720,0.246,98.034,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,517.0,435.0
0.980,1.716,97.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,429.0
1.244,0.746,98.010,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,518.0,451.0
0.990,0.743,98.020,0.248,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,524.0,450.0
1.225,1.225,97.549,0.0,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,553.0,458.0
0.250,0.750,99.0,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,523.0,451.0
1.238,0.743,98.020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,437.0
2.200,0.733,97.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,421.0
1.975,0.247,97.778,0.0,0.0,0.0,0.0,0.0,138.0,543.0,0.0,0.0,530.0,455.0
1.232,0.985,97.537,0.246,0.0,0.0,0.0,24576.0,52.0,365.0,0.0,0.0,534.0,453.0
2.200,0.733,97.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,438.0
1.493,0.249,98.259,0.0,0.0,0.0,0.0,0.0,138.0,543.0,0.0,0.0,531.0,465.0
0.248,0.993,98.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,424.0
1.241,0.496,98.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,431.0
1.478,0.985,97.537,0.0,0.0,0.0,0.0,16384.0,92.0,543.0,0.0,0.0,544.0,466.0
0.746,0.746,98.507,0.0,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,524.0,444.0
1.474,0.983,97.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,450.0
29.238,4.177,66.585,0.0,0.0,0.0,0.0,0.0,2149.0,2488.0,0.0,0.0,851.0,823.0
26.173,1.481,72.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,519.0
