Sat Jun 13 04:57:45 PDT 2015,sun.util.calendar.ZoneInfo[id="America/Los_Angeles",offset=-28800000,dstSavings=3600000,useDaylight=true,transitions=185,lastRule=java.util.SimpleTimeZone[id=America/Los_Angeles,offset=-28800000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]]
Score,Message Content
0.0,"""Que feliz soy ahora mismo 😍"""
0.0,"""@NuriaSaboly relax chica..."""
0.0,"""RT @apeteceumemudar: Em contagem decrescente para o portugalgym"""
0.0,"""RT @pjtrickfandom: Retweet para ganhar seguidores, siga quem retweetou e siga de volta quem te seguiu ☀🌈"""
0.0,"""今日絶対焼けた"""
0.0,"""@KelsJ2 Congratulations!"""
0.0,"""I sa tobom ce tako"""
88.8327549903026,"""Swarovski crystal Tiara. Gold plate wire. Some of the crystals are vintage and of limited supply. £90 inc postage"""
36.51792349059488,"""#np They Don't Care About Us // Michael Jackson"""
83.71286562871198,"""RT @DjRaymoNoodlez: Submit Your best Chopped&Screwed🔩🔩🍼🍇💜Songs to be on the Trap Edition tweet it for a slot all screwed Trap Music http://…"""
0.0,"""@DelSpel 80秒以上でクソリプを飛ばさないとは言ってない、どんまい！(ゆうた"""
0.9408108155330702,"""RT @atayaliko: @mcengizbozkurt seni yirim yirim. Bıyıkların lazım bu hafta sonu bana. Müsait mi? Kendin kullanıcaksan söyle ama lütfen."""
0.0,"""シナモンはもう５弦ベーシストとして確立されてるからな……"""
0.0,"""ربنا أفرغ علينا صبرا و توفنا مسلمين , و ألحقنا بالصالحين http://t.co/kKounDs4pV"""
0.0,"""mali mali yung lyrics nung bata"""
0.0,"""RT @gazetemillet: Serbest bölgelerde büyük oyun... ÜZÜMDE VURGUN! http://t.co/5coLay3STm @gazetemillet http://t.co/aevEFnYBn8"""
26.48250753804426,"""@heslovelaughliv @hestattoos ok pls tweet me when dne x"""
86.61190056109113,"""fuckin sucks real life prison isn't like that LMAOOO"""
0.0,"""RT @salistsurayah: #BastianWithCJRatBlusukanTransTV #BastianWithCJRatBlusukanTransTV #BastianWithCJRatBlusukanTransTV @bastiansteel"""
0.0,"""@audiin yup #AudiLeMans"""
13.027731782990694,"""#Iran #Iranfreedom #MaryamRajavithe only symbol of Iran’s future #France #Boston #Cologne #italy http://t.co/4FQYfMy4zJ   #Iran_Maryam"""
0.0,"""@koisi_pu 全然足りますよ！むしろ相互なら三個くらいで済むんじゃないでしょうか( ´ ▽ ` )ﾉ あ、あともう一人運枠いるんですがよろしいでしょうか？"""
113.78458209612815,"""@uanlatte we are"""
0.0,"""@yuinel_2525 は？てめえ何浮気してんの？？"""
0.0,"""RT @egcit: 今、みんなこれハマってね？  これ → http://t.co/uJ6f7klEri  ヤってみたら、 まじでやめらんねーわ。 http://t.co/dW0AeSHliR"""
51.30199967967419,"""RT @bernardokath: Hi guys! Here's something to perk up the new school year. OraCare is giving away 20% discount on all… https://t.co/KFKViS…"""
0.0,"""RT @man9xoor: #بتوفيق_للكل 💝 وان شاء الله تستفيدون من هذي الادعية 🌸 http://t.co/qYNEIgo1mn"""
0.0,"""@FatinahFauzi a'ah"""
0.0,"""おじさん自身は、毎回最高傑作のつもりで作っているのだ"""
0.0,"""@zoerin_k アンナからのもえちじゃないっすかね？ すみませんアンナしか見てなかったので(;´д｀)"""
0.0,"""@__bt_rg3  おすすめユーザーさんに 入ってるやんな～？ ってことで、お迎えやで♡https://t.co/5TRboAsVhY"""
33.36346780483327,"""@dalejohnsonESPN we were in pot 6 last time. Surely pot 6 -> pot 1 never been done before? Not within 4 years anyway! #dreamland"""
0.0,"""その後の三谷作品「総理と呼ばないで」では、登場人物を名前で呼ばない（肩書で呼ぶ）という試みがあったらしいけど、見てないから成功したのか（視聴者から支持されたのか）まで分からない…"""
23.12174541391723,"""CSS Media Query Generator (Interface Elements) - http://t.co/8d3prFzWPN http://t.co/QcaNn9eNOG"""
0.0,"""相互フォローしましょう！SFを好きな人だと話が合うかも！？お気軽にフォローしてください！"""
35.80879009545884,"""Key v Hel Hel 0 for 0  (0.0 overs) Dan Pellett 0 (0) Adam Pye 0 (0) http://t.co/3xSmdayUnz #totalcricketscorer"""
214.4249899877024,"""RT @baelessvibes: Maybe you are the one for me but the time is not right."""
0.0,"""@girlwthtattoo On est deux mon chat ! Fonces !!"""
0.0,"""RT @Alvaro845: Hoy ya sí que hace día de vlog de Finlandia... En menos de 10 minutos se publica, podéis ir entrando al canal. http://t.co/Z…"""
0.0,"""RT @moedetriana: Carmena ya empieza a ayudar a personas con dificultades http://t.co/UEbKeOO1Rn"""
0.0,"""#Скачать игру racing tanc http://t.co/so9rHqRgut"""
94.94950317821983,"""RT @OneDrecti0nFans: '' FAMILY ''   We may not have it all together. but together we have it all   #NoControlMusicVideo http://t.co/VZx17CT…"""
0.0,"""RT @ExpressenKultur: . @brodrej : @fwikingsson och @larsfiliphammar s humor är det bästa vapnet mot idiotin. http://t.co/RdFtEyfjYY http://…"""
0.0,"""RT @mjj_tvxq: え、まって？セトリどうした待って待って待ってパニック"""
0.0,"""＜なーがモミモミ　揉みしだいております　20:55＞"""
0.0,"""@iyahonu  おつかれちゃん！"""
0.0,""""一生使えるロレックスならまだしも１年でゴミになる Apple Watch が２００万かよ" http://t.co/qo1uIcvl50"""
80.40102589723755,"""@briannasullx3 @CampbelllSoupp love you guys so much and lex is right keep tissues near by always"""
0.0,"""RT @ailen52210425: Buen humor😘"""
0.0,"""@lic0su いわゆるＬＶＨ状態か…回ったりＳ(ry"""
0.0,"""#fv15 #DRdinstemme #tv2valg #dkpol Det danske samfund er blevet frastødende http://t.co/Dm5EbUdVfN"""
0.0,"""@morisara0617 お疲れ様でしたm(_ _)m"""
0.0,"""@xxx_love_1616 吐いたって 言ってたから"""
142.3087035906196,"""Watching orange is the new black 💁🏼"""
0.0,"""@Rock__yuzoon  ディズニーの写真がかわいすぎるよ君たち…😳💕"""
0.0,"""RT @Twenty_17: 150614 영등포 팬싸인회 #세븐틴 #에스쿱스 http://t.co/KKDUff1P9P"""
0.0,""".  ‘’アイシテル‘’とあきれるくらい  いつも言って抱きしめるから…"""
0.0,"""RT @_sunshiner15: เจอคนบอกว่ายีอันมาบอกอึนบยอลว่าชอบอึนบี... เออเป็นไปได้ ร้องไห้แปปปปปปป กูทีม #ยีอันอึนบยอล #แทกวังอึนบี #WhoAreYouSchool…"""
0.0,"""嘉数一星ＳＰ https://t.co/jZEiag8Xlp　一星さんは神の子や…"""
0.0,"""@arrowhead_MMD　売ってたらすぐ買っちゃうレベルです。"""
0.0,"""RT @HTtaeny: สาวๆโซชิถึงสุวรรณภูมิแล้ว"""
0.0,"""外食行くよー言われてめっちゃ期待してシャワー浴びてたのに急いで出て髪も乾かしたのに着いたのはガスト(クソ)"""
