"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_noModelBuilder.log",,,,"Date:","13 Jun 2015 04:57:34 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.927,1.643,82.067,8.041,0.005,0.317,645765.807,559757.632,0.0,0.0,44834.131,77410.702,924.346,1214.088
54.545,6.566,38.889,0.0,0.0,0.0,0.0,32768.0,6130.0,8818.0,0.0,0.0,1047.0,1546.0
63.131,6.061,28.788,1.515,0.0,0.505,20480.0,0.0,591.0,232.0,20480.0,0.0,848.0,1292.0
79.899,4.523,15.075,0.0,0.0,0.503,0.0,122880.0,1182.0,682.0,0.0,0.0,954.0,1402.0
66.332,6.533,26.633,0.0,0.0,0.503,0.0,0.0,1007.0,1449.0,0.0,0.0,1047.0,1368.0
70.707,8.081,20.707,0.0,0.0,0.505,0.0,0.0,719.0,752.0,0.0,0.0,1260.0,1969.0
62.564,15.385,12.821,7.692,0.0,1.538,0.0,9072640.0,1566.0,2956.0,0.0,0.0,1198.0,1580.0
2.273,1.705,25.568,69.318,0.0,1.136,0.0,34603008.0,871.0,1092.0,0.0,0.0,1412.0,1647.0
10.106,2.660,2.660,84.043,0.0,0.532,0.0,23420928.0,1662.0,442.0,0.0,0.0,1132.0,1354.0
71.500,8.0,16.500,1.500,0.0,2.500,0.0,34263040.0,1538.0,918.0,0.0,0.0,1626.0,2233.0
80.905,5.025,13.568,0.0,0.0,0.503,0.0,0.0,8800.0,13907.0,0.0,0.0,1034.0,1542.0
87.374,4.040,8.081,0.0,0.0,0.505,0.0,0.0,719.0,790.0,0.0,0.0,1130.0,1925.0
20.202,1.515,78.283,0.0,0.0,0.0,0.0,0.0,2846.0,11882.0,0.0,0.0,1058.0,1495.0
1.538,0.513,95.385,2.564,0.0,0.0,0.0,212992.0,591.0,110.0,0.0,0.0,885.0,1240.0
2.062,2.062,80.928,14.948,0.0,0.0,0.0,26320896.0,697.0,296.0,0.0,0.0,1072.0,1248.0
2.041,1.020,96.939,0.0,0.0,0.0,0.0,6115328.0,1054.0,284.0,0.0,0.0,922.0,1217.0
9.694,1.020,89.286,0.0,0.0,0.0,0.0,0.0,697.0,418.0,0.0,0.0,914.0,1366.0
2.500,2.0,95.500,0.0,0.0,0.0,0.0,0.0,783.0,1598.0,0.0,0.0,887.0,1168.0
9.0,1.0,87.500,2.0,0.0,0.500,32768.0,0.0,1054.0,220.0,32768.0,0.0,1014.0,1435.0
1.036,0.518,96.891,1.554,0.0,0.0,0.0,90112.0,527.0,110.0,0.0,0.0,895.0,1172.0
4.545,0.505,94.949,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,815.0,1210.0
5.076,1.015,93.909,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,973.0,1450.0
8.629,2.030,89.340,0.0,0.0,0.0,0.0,0.0,911.0,2762.0,0.0,0.0,769.0,1161.0
17.766,2.030,80.203,0.0,0.0,0.0,0.0,0.0,2778.0,1205.0,0.0,0.0,1204.0,1973.0
7.921,1.485,89.604,0.990,0.0,0.0,0.0,69632.0,7151.0,8715.0,0.0,0.0,1029.0,1484.0
14.070,2.010,83.417,0.0,0.0,0.503,0.0,0.0,2106.0,1820.0,0.0,0.0,1047.0,1749.0
16.410,3.077,80.0,0.0,0.0,0.513,0.0,0.0,10002.0,43296.0,0.0,0.0,2152.0,2083.0
5.435,2.717,91.848,0.0,0.0,0.0,0.0,0.0,101368.0,4121610.0,0.0,0.0,5871.0,1578.0
6.417,3.209,89.305,0.0,0.0,1.070,0.0,0.0,137657.0,12336960.0,0.0,0.0,6112.0,1492.0
4.348,2.717,90.761,1.087,0.0,1.087,0.0,65536.0,148717.0,12336896.0,0.0,0.0,6152.0,1507.0
7.735,1.105,89.503,0.0,0.0,1.657,0.0,0.0,144548.0,12338524.0,0.0,0.0,6213.0,1498.0
7.692,2.198,89.560,0.0,0.0,0.549,0.0,0.0,156067.0,12335378.0,0.0,0.0,6124.0,1826.0
6.915,3.723,88.830,0.0,0.0,0.532,0.0,0.0,141879.0,12337618.0,0.0,0.0,6299.0,1508.0
4.301,4.301,90.323,0.0,0.0,1.075,0.0,0.0,158724.0,12335658.0,0.0,0.0,6055.0,1483.0
6.486,3.243,88.649,1.081,0.0,0.541,0.0,65536.0,141957.0,12337002.0,0.0,0.0,6040.0,1681.0
8.205,4.103,84.615,0.0,0.0,3.077,0.0,0.0,149553.0,12337448.0,0.0,0.0,5997.0,1658.0
8.947,3.158,85.789,0.0,0.526,1.579,0.0,0.0,144224.0,12335806.0,0.0,0.0,5830.0,1764.0
5.464,2.186,91.803,0.0,0.0,0.546,0.0,0.0,136695.0,12337812.0,0.0,0.0,5732.0,1485.0
7.368,2.105,88.421,0.0,0.0,2.105,0.0,0.0,145103.0,12335946.0,0.0,0.0,5755.0,1553.0
4.348,2.717,90.217,1.630,0.0,1.087,0.0,290816.0,150230.0,12337140.0,0.0,0.0,5397.0,1432.0
8.556,2.139,88.235,0.0,0.0,1.070,0.0,0.0,147527.0,12336896.0,0.0,0.0,5410.0,1491.0
41.885,4.712,52.356,0.0,0.0,1.047,0.0,0.0,152642.0,12337254.0,0.0,0.0,5536.0,1896.0
53.807,4.061,40.102,0.0,0.0,2.030,0.0,0.0,135708.0,12335322.0,0.0,0.0,5592.0,1779.0
38.776,2.551,57.143,0.0,0.0,1.531,0.0,0.0,160617.0,12337036.0,0.0,0.0,5091.0,1675.0
5.435,2.174,89.130,2.174,0.0,1.087,0.0,524288.0,128105.0,12337144.0,0.0,0.0,5112.0,1635.0
6.417,1.070,91.979,0.0,0.0,0.535,0.0,0.0,154034.0,12337112.0,0.0,0.0,5143.0,1528.0
10.053,2.646,84.127,0.0,0.0,3.175,0.0,0.0,157831.0,12337326.0,0.0,0.0,5003.0,1891.0
3.825,3.279,92.896,0.0,0.0,0.0,0.0,0.0,141273.0,12335976.0,0.0,0.0,5112.0,1462.0
5.376,2.688,90.323,0.0,0.0,1.613,0.0,0.0,180783.0,12336292.0,0.0,0.0,5794.0,1616.0
4.348,2.717,90.761,1.087,0.0,1.087,0.0,217088.0,184407.0,12336978.0,0.0,0.0,5391.0,1586.0
3.804,3.261,91.304,0.0,0.0,1.630,0.0,0.0,167744.0,12337302.0,0.0,0.0,5375.0,1687.0
5.851,3.191,89.362,0.0,0.0,1.596,0.0,0.0,176019.0,12337698.0,0.0,0.0,5087.0,1828.0
26.804,2.577,69.072,0.0,0.0,1.546,0.0,0.0,231647.0,12336106.0,0.0,0.0,5053.0,1617.0
5.236,3.665,90.052,0.0,0.0,1.047,0.0,0.0,258351.0,12335654.0,0.0,0.0,4810.0,1518.0
10.995,2.618,83.246,0.0,0.0,3.141,0.0,0.0,232385.0,12337974.0,0.0,0.0,5684.0,1748.0
4.712,2.618,89.005,2.094,0.524,1.047,0.0,77824.0,246171.0,12335678.0,0.0,0.0,5232.0,1351.0
17.617,4.145,76.166,0.0,0.0,2.073,0.0,0.0,222800.0,12336998.0,0.0,0.0,5294.0,2085.0
4.278,2.674,91.979,0.0,0.0,1.070,0.0,0.0,192768.0,12337190.0,0.0,0.0,5282.0,1548.0
5.208,3.125,90.104,0.0,0.0,1.562,0.0,0.0,255352.0,12336642.0,0.0,0.0,5554.0,1559.0
4.813,1.604,91.979,0.0,0.0,1.604,0.0,0.0,253680.0,12336402.0,0.0,0.0,5248.0,1524.0
6.952,2.139,90.374,0.0,0.0,0.535,0.0,0.0,201313.0,12337646.0,0.0,0.0,5399.0,1518.0
7.368,2.632,87.368,1.053,0.0,1.579,0.0,69632.0,214047.0,12337214.0,0.0,0.0,5259.0,1642.0
6.806,3.665,87.958,0.0,0.0,1.571,0.0,0.0,194933.0,12335974.0,0.0,0.0,5330.0,1668.0
3.825,2.186,93.443,0.0,0.0,0.546,0.0,0.0,174756.0,12336444.0,0.0,0.0,5015.0,1551.0
5.820,3.704,89.418,0.0,0.0,1.058,0.0,0.0,128842.0,12337290.0,0.0,0.0,5070.0,1640.0
4.278,1.604,92.513,0.0,0.0,1.604,0.0,0.0,171500.0,12336444.0,0.0,0.0,5034.0,1404.0
6.915,3.191,86.170,1.064,0.0,2.660,0.0,65536.0,184904.0,12337182.0,0.0,0.0,5419.0,1911.0
5.978,2.174,91.848,0.0,0.0,0.0,0.0,0.0,189598.0,12336170.0,0.0,0.0,5060.0,1590.0
7.407,1.587,89.947,0.0,0.0,1.058,0.0,0.0,176870.0,12337320.0,0.0,0.0,5327.0,1517.0
4.188,3.141,91.623,0.0,0.0,1.047,0.0,45056.0,202310.0,12336052.0,0.0,0.0,4066.0,1571.0
4.787,1.596,92.553,0.0,0.0,1.064,0.0,0.0,170441.0,12337268.0,0.0,0.0,3305.0,1485.0
7.254,2.073,88.601,1.036,0.0,1.036,0.0,81920.0,117390.0,12336786.0,0.0,0.0,3410.0,1766.0
6.061,1.010,92.929,0.0,0.0,0.0,0.0,0.0,154101.0,10094295.0,0.0,0.0,1673.0,1508.0
3.571,1.020,95.408,0.0,0.0,0.0,0.0,0.0,3989.0,195755.0,0.0,0.0,1230.0,1300.0
5.051,0.505,94.444,0.0,0.0,0.0,0.0,180224.0,565.0,358.0,0.0,0.0,1334.0,1315.0
3.535,1.515,94.949,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,953.0,1368.0
6.566,1.515,90.909,1.010,0.0,0.0,0.0,81920.0,64.0,186.0,0.0,0.0,1062.0,1531.0
5.076,0.508,94.416,0.0,0.0,0.0,0.0,0.0,5885.0,7326.0,0.0,0.0,884.0,1236.0
4.569,1.015,93.909,0.0,0.0,0.508,0.0,0.0,3156.0,968.0,0.0,0.0,1049.0,1616.0
3.046,1.015,95.939,0.0,0.0,0.0,0.0,217088.0,234.0,366.0,0.0,0.0,1005.0,1385.0
3.553,1.015,95.431,0.0,0.0,0.0,0.0,0.0,697.0,386.0,0.0,0.0,980.0,1396.0
5.556,1.010,91.919,1.010,0.0,0.505,0.0,81920.0,1224.0,768.0,0.0,0.0,1049.0,1724.0
11.500,3.500,85.0,0.0,0.0,0.0,0.0,0.0,4976.0,7766.0,0.0,0.0,1195.0,1745.0
4.082,1.531,94.388,0.0,0.0,0.0,0.0,0.0,4521.0,4881.0,0.0,0.0,1024.0,1430.0
8.543,2.010,89.447,0.0,0.0,0.0,0.0,0.0,1814.0,502.0,0.0,0.0,943.0,1503.0
3.046,0.508,96.447,0.0,0.0,0.0,0.0,0.0,2440.0,4367.0,0.0,0.0,944.0,1367.0
62.0,5.500,31.500,0.0,0.0,1.0,0.0,0.0,867.0,322.0,0.0,0.0,1765.0,3364.0
4.020,1.005,93.467,1.508,0.0,0.0,0.0,65536.0,191044.0,107855.0,0.0,0.0,889.0,1413.0
6.468,0.995,92.537,0.0,0.0,0.0,0.0,0.0,869.0,858.0,0.0,0.0,858.0,1419.0
2.551,0.510,96.939,0.0,0.0,0.0,0.0,61440.0,633.0,216.0,0.0,0.0,823.0,1385.0
6.566,1.515,91.414,0.0,0.0,0.505,0.0,0.0,2800.0,1810.0,0.0,0.0,1022.0,1616.0
4.545,1.515,93.939,0.0,0.0,0.0,0.0,0.0,2142.0,2014.0,0.0,0.0,924.0,1527.0
5.941,1.485,92.574,0.0,0.0,0.0,0.0,0.0,5181.0,6942.0,0.0,0.0,934.0,1333.0
1.538,1.026,95.897,1.538,0.0,0.0,0.0,90112.0,1853.0,646.0,0.0,0.0,791.0,1307.0
3.030,1.515,95.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,1367.0
3.518,1.508,94.975,0.0,0.0,0.0,0.0,0.0,1581.0,330.0,0.0,0.0,914.0,1362.0
43.878,2.041,53.571,0.0,0.0,0.510,0.0,0.0,1576.0,710.0,0.0,0.0,1210.0,1767.0
7.882,1.478,90.640,0.0,0.0,0.0,0.0,0.0,6460.0,10267.0,0.0,0.0,981.0,1456.0
6.061,1.515,90.909,1.515,0.0,0.0,0.0,69632.0,11977.0,2669.0,0.0,0.0,988.0,1435.0
20.101,2.513,77.387,0.0,0.0,0.0,0.0,520192.0,4939.0,1092.0,0.0,0.0,1400.0,2151.0
32.323,6.566,60.606,0.0,0.0,0.505,0.0,0.0,80713.0,69086.0,0.0,0.0,1484.0,2126.0
7.216,0.515,92.268,0.0,0.0,0.0,0.0,0.0,44561.0,54700.0,0.0,0.0,1056.0,1682.0
3.960,2.475,93.069,0.0,0.0,0.495,0.0,0.0,5806.0,7402.0,0.0,0.0,876.0,1466.0
2.525,2.020,93.434,2.020,0.0,0.0,0.0,126976.0,1582.0,1376.0,0.0,0.0,909.0,1446.0
4.523,1.005,94.472,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,917.0,1394.0
2.525,1.010,96.465,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,868.0,1299.0
8.081,3.535,88.384,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,1227.0,1791.0
3.030,1.010,94.949,0.505,0.0,0.505,12288.0,0.0,7457.0,7952.0,12288.0,0.0,988.0,1437.0
4.020,1.508,94.472,0.0,0.0,0.0,0.0,0.0,1619.0,508.0,0.0,0.0,853.0,1392.0
3.553,1.523,92.386,2.538,0.0,0.0,0.0,69632.0,0.0,122.0,0.0,0.0,1001.0,1644.0
4.0,1.500,94.500,0.0,0.0,0.0,0.0,0.0,4135.0,3968.0,0.0,0.0,921.0,1308.0
7.0,1.500,91.500,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,862.0,1475.0
13.636,1.010,84.848,0.0,0.0,0.505,0.0,0.0,4827.0,6900.0,0.0,0.0,1001.0,1403.0
26.768,1.515,71.717,0.0,0.0,0.0,0.0,0.0,2690.0,1084.0,0.0,0.0,1069.0,1508.0
28.643,2.010,69.347,0.0,0.0,0.0,0.0,0.0,9450.0,6481.0,0.0,0.0,893.0,1593.0
7.107,0.0,91.371,1.015,0.0,0.508,0.0,69632.0,7088.0,4988.0,0.0,0.0,1133.0,1673.0
25.871,2.488,71.144,0.0,0.0,0.498,0.0,0.0,8142.0,5118.0,0.0,0.0,1743.0,2601.0
4.569,2.030,93.401,0.0,0.0,0.0,0.0,0.0,47713.0,191236.0,0.0,0.0,1048.0,1631.0
7.035,1.508,91.457,0.0,0.0,0.0,0.0,0.0,8619.0,5177.0,0.0,0.0,949.0,1497.0
15.075,2.513,81.910,0.0,0.0,0.503,0.0,0.0,9972.0,6492.0,0.0,0.0,1156.0,1833.0
10.101,1.515,88.384,0.0,0.0,0.0,0.0,0.0,10746.0,7921.0,0.0,0.0,1029.0,1552.0
24.365,1.015,73.604,1.015,0.0,0.0,0.0,98304.0,6956.0,4996.0,0.0,0.0,1257.0,1837.0
31.156,2.010,66.332,0.0,0.0,0.503,0.0,0.0,199628.0,10788.0,0.0,0.0,1416.0,2131.0
58.376,3.046,38.071,0.0,0.0,0.508,0.0,0.0,228310.0,77268.0,0.0,0.0,2254.0,3438.0
6.500,2.0,90.500,0.0,0.500,0.500,0.0,0.0,389522.0,55463.0,0.0,0.0,1088.0,1699.0
5.528,1.005,93.467,0.0,0.0,0.0,0.0,0.0,8214.0,5232.0,0.0,0.0,1025.0,1537.0
54.822,3.553,39.086,1.523,0.0,1.015,0.0,98304.0,6434.0,3942.0,0.0,0.0,2636.0,4757.0
8.543,1.508,89.950,0.0,0.0,0.0,0.0,0.0,489940.0,144431.0,0.0,0.0,1067.0,1704.0
11.055,2.010,86.432,0.0,0.0,0.503,0.0,0.0,8096.0,4432.0,0.0,0.0,1066.0,1626.0
4.523,2.513,92.965,0.0,0.0,0.0,0.0,65536.0,10201.0,6411.0,0.0,0.0,1040.0,1565.0
6.030,1.508,92.462,0.0,0.0,0.0,0.0,0.0,5340.0,3802.0,0.0,0.0,947.0,1472.0
40.404,5.051,52.020,1.515,0.0,1.010,0.0,114688.0,6522.0,4038.0,0.0,0.0,2020.0,3405.0
5.556,1.515,92.929,0.0,0.0,0.0,0.0,0.0,507410.0,111297.0,0.0,0.0,1020.0,1550.0
5.102,1.531,93.367,0.0,0.0,0.0,0.0,0.0,7672.0,5435.0,0.0,0.0,1041.0,1621.0
7.614,1.523,90.863,0.0,0.0,0.0,0.0,557056.0,8154.0,5130.0,0.0,0.0,948.0,1494.0
3.518,1.508,94.472,0.0,0.0,0.503,0.0,0.0,6331.0,3811.0,0.0,0.0,939.0,1433.0
41.026,2.051,55.897,0.513,0.0,0.513,0.0,126976.0,5341.0,3697.0,0.0,0.0,2105.0,3524.0
5.025,2.010,92.965,0.0,0.0,0.0,0.0,0.0,444368.0,116684.0,0.0,0.0,1101.0,1634.0
6.0,2.0,92.0,0.0,0.0,0.0,0.0,0.0,8656.0,5361.0,0.0,0.0,1044.0,1654.0
6.091,1.015,92.893,0.0,0.0,0.0,0.0,0.0,7036.0,4858.0,0.0,0.0,1044.0,1657.0
9.852,1.970,88.177,0.0,0.0,0.0,0.0,0.0,8154.0,5130.0,0.0,0.0,1011.0,1624.0
39.500,2.500,57.0,0.500,0.0,0.500,0.0,102400.0,8154.0,5114.0,0.0,0.0,2215.0,3494.0
5.670,2.062,92.268,0.0,0.0,0.0,0.0,0.0,519637.0,122679.0,0.0,0.0,1568.0,1714.0
4.545,2.020,93.434,0.0,0.0,0.0,0.0,0.0,11480.0,6826.0,0.0,0.0,1101.0,1620.0
5.051,1.515,92.929,0.0,0.0,0.505,0.0,0.0,6687.0,3881.0,0.0,0.0,1055.0,1541.0
4.975,2.488,92.537,0.0,0.0,0.0,0.0,0.0,7100.0,4894.0,0.0,0.0,1039.0,1537.0
44.279,5.970,48.259,0.0,0.0,1.493,0.0,102400.0,6395.0,3933.0,0.0,0.0,2227.0,4365.0
5.699,0.518,93.782,0.0,0.0,0.0,0.0,0.0,524580.0,141188.0,0.0,0.0,1104.0,1576.0
4.615,1.538,93.846,0.0,0.0,0.0,0.0,0.0,9425.0,6274.0,0.0,0.0,1046.0,1614.0
11.558,1.508,86.432,0.0,0.0,0.503,0.0,4096.0,8218.0,5236.0,0.0,0.0,1184.0,1623.0
5.528,1.508,92.462,0.0,0.0,0.503,0.0,0.0,9849.0,6311.0,0.0,0.0,1103.0,1555.0
39.801,4.478,54.229,0.0,0.0,1.493,0.0,102400.0,8923.0,6091.0,0.0,0.0,2461.0,4331.0
7.882,1.478,90.148,0.0,0.0,0.493,0.0,0.0,630596.0,136448.0,0.0,0.0,1121.0,1614.0
4.615,0.513,94.872,0.0,0.0,0.0,0.0,0.0,8656.0,5297.0,0.0,0.0,1044.0,1554.0
6.061,2.525,91.414,0.0,0.0,0.0,0.0,192512.0,8859.0,6091.0,0.0,0.0,1284.0,1664.0
3.077,2.051,94.872,0.0,0.0,0.0,0.0,0.0,9913.0,6327.0,0.0,0.0,1191.0,1605.0
49.239,3.046,45.685,0.508,0.0,1.523,0.0,110592.0,8154.0,5178.0,0.0,0.0,2584.0,4063.0
4.592,2.041,93.367,0.0,0.0,0.0,0.0,0.0,667978.0,141799.0,0.0,0.0,1197.0,1678.0
5.584,2.538,91.371,0.0,0.0,0.508,0.0,0.0,11720.0,7066.0,0.0,0.0,1205.0,1662.0
4.0,2.500,93.500,0.0,0.0,0.0,0.0,65536.0,10205.0,6275.0,0.0,0.0,1155.0,1533.0
8.081,1.010,90.404,0.0,0.0,0.505,0.0,0.0,7036.0,4788.0,0.0,0.0,1001.0,1502.0
37.113,3.608,58.247,0.0,0.0,1.031,0.0,0.0,8218.0,5236.0,0.0,0.0,2393.0,4472.0
