"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_noModelBuilder.log",,,,"Date:","13 Jun 2015 04:49:10 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
9.192,0.399,89.816,0.483,0.000,0.110,424173.570,294146.558,0.0,0.0,0.0,3.474,558.645,333.003
0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,52.0,365.0,0.0,0.0,497.0,455.0
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,511.0,454.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,432.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,428.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,506.0,449.0
0.251,0.0,99.497,0.251,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,512.0,436.0
0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,510.0,434.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,509.0,444.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,426.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,504.0,432.0
9.898,3.046,86.802,0.254,0.0,0.0,0.0,24576.0,2149.0,2410.0,0.0,0.0,710.0,707.0
30.402,1.005,68.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,574.0
25.126,0.251,74.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,520.0
25.628,2.764,71.608,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,790.0,818.0
28.822,0.501,70.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,536.0
26.076,1.772,71.899,0.253,0.0,0.0,0.0,229376.0,52.0,365.0,0.0,0.0,644.0,589.0
24.372,2.010,73.367,0.0,0.0,0.251,0.0,0.0,92.0,543.0,0.0,0.0,625.0,531.0
28.358,1.990,64.925,4.726,0.0,0.0,0.0,327680.0,0.0,0.0,0.0,0.0,822.0,596.0
27.387,1.256,71.357,0.0,0.0,0.0,0.0,0.0,142.0,93.0,0.0,0.0,680.0,570.0
32.161,2.261,65.578,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,732.0,730.0
33.081,1.010,65.657,0.253,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,685.0,551.0
27.708,2.519,69.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,803.0
32.581,3.008,64.411,0.0,0.0,0.0,0.0,81920.0,92.0,543.0,0.0,0.0,1033.0,1455.0
31.566,1.515,66.919,0.0,0.0,0.0,0.0,0.0,46.0,50.0,0.0,0.0,854.0,964.0
39.848,1.269,58.883,0.0,0.0,0.0,0.0,0.0,1401.0,1032.0,0.0,0.0,1056.0,1357.0
30.052,3.109,66.580,0.259,0.0,0.0,0.0,57344.0,1233.0,1772.0,0.0,0.0,1240.0,1881.0
28.934,1.777,69.289,0.0,0.0,0.0,0.0,0.0,9314.0,2205.0,0.0,0.0,943.0,1141.0
28.462,2.308,68.974,0.0,0.0,0.256,0.0,0.0,371734.0,22018.0,0.0,0.0,1253.0,1459.0
0.783,1.305,97.389,0.0,0.0,0.522,0.0,0.0,3081092.0,34473.0,0.0,0.0,1420.0,1456.0
4.370,3.085,92.545,0.0,0.0,0.0,0.0,0.0,3090944.0,46194.0,0.0,0.0,1884.0,1608.0
2.302,2.813,94.118,0.256,0.0,0.512,0.0,122880.0,3015052.0,35153.0,0.0,0.0,1539.0,1501.0
1.302,3.646,94.792,0.0,0.0,0.260,0.0,0.0,3069092.0,37281.0,0.0,0.0,1577.0,1472.0
1.828,3.133,91.645,3.133,0.0,0.261,0.0,6529024.0,3027000.0,36504.0,0.0,0.0,1684.0,1524.0
0.524,2.880,95.288,0.0,0.0,1.309,0.0,17825792.0,3063000.0,36894.0,0.0,0.0,1662.0,1488.0
2.591,3.627,92.228,0.0,0.0,1.554,0.0,3809280.0,3033990.0,38235.0,0.0,0.0,1645.0,1529.0
1.309,3.403,94.241,0.524,0.0,0.524,0.0,90112.0,3045000.0,44850.0,0.0,0.0,1839.0,1526.0
0.789,3.158,95.789,0.0,0.0,0.263,0.0,0.0,3060000.0,48204.0,0.0,0.0,1920.0,1532.0
2.083,2.083,94.792,0.0,0.0,1.042,0.0,0.0,2997092.0,39309.0,0.0,0.0,1637.0,1483.0
1.319,2.375,96.306,0.0,0.0,0.0,0.0,0.0,3015000.0,48360.0,0.0,0.0,1928.0,1493.0
2.625,3.150,93.963,0.0,0.0,0.262,0.0,0.0,2985898.0,45258.0,0.0,0.0,1851.0,1612.0
1.319,1.319,95.515,0.264,0.0,1.583,0.0,40960.0,2991092.0,42039.0,0.0,0.0,1718.0,1563.0
0.785,2.618,96.073,0.0,0.0,0.524,0.0,0.0,2976229.0,43680.0,0.0,0.0,1770.0,1596.0
1.575,3.150,95.276,0.0,0.0,0.0,0.0,0.0,2964000.0,52026.0,0.0,0.0,2053.0,1564.0
2.362,2.362,93.963,0.0,0.0,1.312,0.0,0.0,2958413.0,37861.0,0.0,0.0,1584.0,1535.0
1.319,2.639,94.723,0.0,0.0,1.319,0.0,0.0,2988938.0,38409.0,0.0,0.0,1633.0,1603.0
1.832,2.356,94.503,0.262,0.0,1.047,8192.0,49152.0,2988052.0,40613.0,0.0,0.0,1780.0,1655.0
1.554,2.332,94.560,0.0,0.0,1.554,0.0,0.0,2997138.0,40635.0,0.0,0.0,1697.0,1565.0
1.842,1.053,96.053,0.0,0.0,1.053,0.0,0.0,2964000.0,37518.0,0.0,0.0,1595.0,1580.0
0.792,2.375,96.306,0.0,0.0,0.528,0.0,0.0,2955000.0,36972.0,0.0,0.0,1564.0,1544.0
1.592,2.387,95.491,0.0,0.0,0.531,0.0,0.0,2979972.0,44334.0,0.0,0.0,1794.0,1626.0
1.550,3.618,94.057,0.258,0.0,0.517,0.0,40960.0,2985000.0,38766.0,0.0,0.0,1643.0,1534.0
2.046,4.348,91.816,0.0,0.0,1.790,0.0,0.0,3649501.0,48828.0,0.0,0.0,1835.0,1676.0
1.579,3.158,94.737,0.0,0.0,0.526,0.0,0.0,3762092.0,45003.0,0.0,0.0,1684.0,1675.0
