"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_withModelBuilder.log",,,,"Date:","13 Jun 2015 05:06:56 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.883,1.637,82.460,7.701,0.005,0.314,616401.719,546555.958,0.0,0.0,42801.618,73889.909,941.631,1222.701
50.754,9.045,39.196,0.0,0.0,1.005,0.0,32768.0,9441.0,12024.0,0.0,0.0,1124.0,1628.0
61.616,8.081,29.798,0.0,0.0,0.505,0.0,0.0,1474.0,412.0,0.0,0.0,907.0,1213.0
75.377,5.025,19.095,0.0,0.0,0.503,0.0,172032.0,128.0,462.0,0.0,0.0,968.0,1330.0
69.898,7.143,22.959,0.0,0.0,0.0,0.0,0.0,1534.0,1501.0,0.0,0.0,883.0,1298.0
72.864,9.045,17.085,0.0,0.0,1.005,0.0,0.0,1310.0,1266.0,0.0,0.0,1376.0,2000.0
62.500,15.625,14.062,7.292,0.0,0.521,0.0,10911744.0,664.0,3044.0,0.0,0.0,1258.0,1660.0
0.585,0.585,27.485,70.760,0.0,0.585,0.0,35389440.0,1118.0,220.0,0.0,0.0,1399.0,1551.0
13.158,3.158,4.737,78.421,0.0,0.526,0.0,21258240.0,1182.0,342.0,0.0,0.0,1173.0,1385.0
71.717,7.071,15.657,2.525,0.0,3.030,0.0,33808384.0,128.0,564.0,0.0,0.0,1594.0,2271.0
82.0,5.500,11.500,0.0,0.0,1.0,0.0,4096.0,10587.0,15431.0,0.0,0.0,1107.0,1537.0
86.432,6.533,6.533,0.0,0.0,0.503,0.0,0.0,1374.0,1208.0,0.0,0.0,1230.0,1933.0
13.402,1.546,84.536,0.0,0.0,0.515,0.0,0.0,1962.0,12128.0,0.0,0.0,1022.0,1414.0
2.551,0.0,95.408,2.041,0.0,0.0,0.0,241664.0,1054.0,220.0,0.0,0.0,904.0,1195.0
7.732,2.577,77.835,10.825,0.0,1.031,0.0,24240128.0,1224.0,470.0,0.0,0.0,1269.0,1411.0
1.554,0.0,98.446,0.0,0.0,0.0,0.0,8212480.0,362.0,1488.0,0.0,0.0,985.0,1181.0
3.627,0.518,95.855,0.0,0.0,0.0,0.0,0.0,2401.0,802.0,0.0,0.0,930.0,1269.0
0.518,0.518,98.964,0.0,0.0,0.0,0.0,0.0,1410.0,290.0,0.0,0.0,913.0,1202.0
1.538,0.513,97.436,0.0,0.0,0.513,0.0,0.0,0.0,0.0,0.0,0.0,829.0,1196.0
3.608,1.031,93.299,2.062,0.0,0.0,0.0,90112.0,1054.0,220.0,0.0,0.0,934.0,1415.0
11.675,2.030,86.294,0.0,0.0,0.0,0.0,0.0,1566.0,3280.0,0.0,0.0,971.0,1518.0
1.531,1.020,97.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,1187.0
4.615,0.513,94.872,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,974.0,1329.0
11.224,2.551,85.204,0.0,0.0,1.020,0.0,0.0,3794.0,4779.0,0.0,0.0,1269.0,1885.0
7.576,0.505,91.919,0.0,0.0,0.0,0.0,0.0,6100.0,7131.0,0.0,0.0,1038.0,1573.0
11.399,1.036,86.010,1.554,0.0,0.0,0.0,65536.0,7800.0,17222.0,0.0,0.0,1158.0,1730.0
12.042,2.094,85.340,0.0,0.0,0.524,0.0,0.0,11678.0,14718.0,0.0,0.0,2814.0,1769.0
2.273,1.705,94.886,0.0,0.0,1.136,0.0,0.0,159236.0,9917360.0,0.0,0.0,6138.0,1549.0
8.649,3.243,87.027,0.0,0.0,1.081,0.0,0.0,162848.0,12338694.0,0.0,0.0,6291.0,1641.0
6.452,2.688,88.172,0.0,0.0,2.688,0.0,0.0,165014.0,12335806.0,0.0,0.0,6441.0,1855.0
6.557,3.279,87.978,1.093,0.0,1.093,0.0,73728.0,167394.0,12337307.0,0.0,0.0,6316.0,1551.0
3.933,2.809,93.258,0.0,0.0,0.0,0.0,0.0,158709.0,12335698.0,0.0,0.0,6213.0,1517.0
3.846,2.198,91.758,0.0,0.0,2.198,0.0,0.0,155090.0,12337262.0,0.0,0.0,6125.0,1543.0
2.809,1.685,94.382,0.0,0.0,1.124,0.0,0.0,150000.0,12337286.0,0.0,0.0,5868.0,1400.0
8.152,2.717,86.957,0.0,0.0,2.174,0.0,0.0,161914.0,12337006.0,0.0,0.0,6006.0,1857.0
2.841,1.705,94.886,0.0,0.0,0.568,0.0,0.0,171047.0,12336353.0,0.0,0.0,5873.0,1549.0
6.077,2.762,88.950,1.105,0.0,1.105,0.0,65536.0,168194.0,12335764.0,0.0,0.0,5901.0,1824.0
3.297,3.297,91.758,0.0,0.0,1.648,0.0,0.0,166642.0,12337117.0,0.0,0.0,6050.0,1615.0
4.420,2.210,92.818,0.0,0.0,0.552,0.0,0.0,154834.0,12337218.0,0.0,0.0,5254.0,1534.0
27.660,3.191,66.489,0.0,0.0,2.660,0.0,53248.0,144964.0,12336790.0,0.0,0.0,4928.0,1756.0
53.333,4.615,39.487,0.0,0.0,2.564,0.0,0.0,150353.0,12334548.0,0.0,0.0,5325.0,1645.0
49.485,3.093,43.814,1.546,0.0,2.062,0.0,106496.0,207098.0,12337983.0,0.0,0.0,6386.0,1715.0
7.527,2.151,88.172,0.0,0.0,2.151,0.0,0.0,182984.0,12336777.0,0.0,0.0,5829.0,1491.0
2.222,2.222,94.444,0.0,0.0,1.111,0.0,0.0,181444.0,12337006.0,0.0,0.0,5916.0,1373.0
7.692,2.747,89.011,0.0,0.0,0.549,0.0,610304.0,198104.0,12337006.0,0.0,0.0,5875.0,1718.0
1.676,2.235,94.413,0.0,0.0,1.676,0.0,0.0,195981.0,12336173.0,0.0,0.0,5707.0,1502.0
5.525,2.210,89.503,0.0,0.0,2.762,0.0,0.0,192375.0,12337944.0,0.0,0.0,6036.0,1771.0
2.732,2.732,92.350,1.639,0.0,0.546,0.0,122880.0,185094.0,12335845.0,0.0,0.0,5751.0,1542.0
2.235,2.793,94.413,0.0,0.0,0.559,0.0,0.0,195184.0,12336892.0,0.0,0.0,5779.0,1544.0
4.865,3.243,89.730,0.0,0.0,2.162,0.0,90112.0,194144.0,12336322.0,0.0,0.0,5708.0,1741.0
5.495,3.297,89.560,0.0,0.0,1.648,0.0,0.0,248222.0,12337330.0,0.0,0.0,6548.0,1905.0
3.371,0.562,95.506,0.0,0.0,0.562,0.0,0.0,252609.0,12335421.0,0.0,0.0,6542.0,1535.0
25.131,3.141,69.634,0.0,0.0,2.094,0.0,0.0,253968.0,12337293.0,0.0,0.0,6674.0,1678.0
2.762,2.210,92.818,1.657,0.0,0.552,0.0,98304.0,264097.0,12337214.0,0.0,0.0,6457.0,1479.0
12.834,2.674,82.353,0.0,0.0,2.139,0.0,0.0,217837.0,12337108.0,0.0,0.0,6068.0,1822.0
1.639,3.279,93.989,0.0,0.546,0.546,0.0,0.0,186899.0,12336269.0,0.0,0.0,5060.0,1484.0
4.372,2.732,91.803,0.0,0.0,1.093,0.0,0.0,159174.0,12335910.0,0.0,0.0,5392.0,1702.0
2.139,2.139,94.118,0.0,0.0,1.604,0.0,0.0,197464.0,12338419.0,0.0,0.0,4152.0,1513.0
3.297,0.549,94.505,1.099,0.0,0.549,0.0,94208.0,60834.0,11324570.0,0.0,0.0,3508.0,1519.0
4.787,2.660,90.957,0.0,0.0,1.596,0.0,0.0,180814.0,11374172.0,0.0,0.0,3806.0,1699.0
