"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_withModelBuilder.log",,,,"Date:","13 Jun 2015 04:43:53 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
9.200,0.398,89.818,0.474,0.000,0.110,425031.731,291189.361,0.0,0.0,0.0,3.482,557.934,331.747
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,440.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,461.0,449.0
0.750,0.0,99.250,0.0,0.0,0.0,0.0,0.0,143.0,908.0,0.0,0.0,475.0,428.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,417.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,502.0,429.0
0.500,0.250,98.750,0.500,0.0,0.0,0.0,106496.0,91.0,543.0,0.0,0.0,517.0,461.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,409.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,415.0
0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,91.0,543.0,0.0,0.0,503.0,434.0
0.0,0.503,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,432.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,396.0
0.504,0.0,99.244,0.252,0.0,0.0,0.0,24576.0,91.0,543.0,0.0,0.0,507.0,443.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,392.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,421.0
0.752,0.0,99.248,0.0,0.0,0.0,0.0,0.0,91.0,543.0,0.0,0.0,511.0,467.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,423.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,429.0
0.505,0.253,99.242,0.0,0.0,0.0,0.0,24576.0,143.0,908.0,0.0,0.0,525.0,477.0
27.136,2.513,70.101,0.251,0.0,0.0,319488.0,0.0,2057.0,1844.0,0.0,0.0,961.0,1085.0
30.250,0.250,69.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,504.0
25.441,0.252,74.307,0.0,0.0,0.0,0.0,0.0,91.0,543.0,0.0,0.0,639.0,535.0
27.960,3.778,68.262,0.0,0.0,0.0,147456.0,0.0,46.0,0.0,0.0,0.0,881.0,911.0
25.622,2.985,71.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,537.0
26.650,2.030,70.812,0.508,0.0,0.0,0.0,212992.0,91.0,543.0,0.0,0.0,680.0,593.0
