Sun Jun 14 03:46:30 PDT 2015,sun.util.calendar.ZoneInfo[id="America/Los_Angeles",offset=-28800000,dstSavings=3600000,useDaylight=true,transitions=185,lastRule=java.util.SimpleTimeZone[id=America/Los_Angeles,offset=-28800000,dstSavings=3600000,useDaylight=true,startYear=0,startMode=3,startMonth=2,startDay=8,startDayOfWeek=1,startTime=7200000,startTimeMode=0,endMode=3,endMonth=10,endDay=1,endDayOfWeek=1,endTime=7200000,endTimeMode=0]]
Score,Message Content
0.0,"""@weirdguurl ah ouais d'accord t'en es qu'au début quoi mdr"""
0.0,"""Diadora heropent productielijn in Italiaans hoofdkwartier | @scoopit http://t.co/gIlbr3QBez"""
0.0,"""(وقالوا لو كنا نسمع أو نعقل ما كنا في أصحاب السعير) [الملك:10] http://t.co/UHuC2dJkQ9"""
0.0,"""@joaninha_77 @biasilvestre4 foi tão bom quando eu disse bom dia"""
73.37903813451231,"""Happy 49th birthday Momma! Don't worry mom, you still look young and very pretty. Oh plus, you're… https://t.co/Rm5qvVFBLK"""
0.0,"""RT @anthonyadecavex: http://t.co/OcCUKcHQb8 #Играть на сони плейстейшен 1"""
0.0,"""濱田くんかもね！RT"""
2.031413213911042,"""https://t.co/mKlk60QDZZ يشرفنا عملائنا الكرام الرد علي استفسارتكم علي الوتس 0555444150"""
0.0,"""#تويت_حديث #صورة  http://t.co/ibSMZ7ObRc #ﷺ"""
0.0,"""@abc0691 지금은여?ㅋㅋ"""
0.0,"""@dmitryzelukin А что в еверноуте? Почему не g docs? У хипчата клиент полное говнище..."""
0.0,"""RT @SaudiNews50: عاجل:  البحرية السعودية تعثر على صواريخ للحوثيين مخبأة في جزيرة حدودية .  #الحرب_على_الحوثيين #الحوثيين #اليمن #السعودية"""
0.0,"""もうなんかもうドロシー私も今回の曲の中で1番泣くし1番好きだしいろいろつらいㅠㅠㅠㅠ"""
11.565175019043869,"""Pool 2. Game nine results. Vale A -5. Caerphilly B-0 #LAHub"""
0.0,"""性格診断やるとかならず管理者とか弁護士とかそういうのにされるのでつまらん…あとふたご座だからかやたら二面性があることにされる💢💢💢"""
0.0,"""お腹が空いたわ！しょうがないからフォアグラの缶詰でがまんするわ"""
0.0,"""@iyamiyapiano @soraosorasora 全員公共交通機関使用禁止な"""
0.0,"""RT @SenyoritaVice: Anong kasalanan ko sayo iniwan mo nalang akong duguan.  -Napkin"""
0.0,"""やっぱり君って、期待を裏切らないよな"""
5.808576760541701,"""@MadeReyesS Averigua que tipo de Personalidad tienes analizando tus tweets con esta app ¡Increible! http://t.co/dfgvc8hq4J"""
0.0,"""流石はま屋、日本一抜けやすいね！"""
0.0,"""RT @NajrantoDay: وزارة الداخلية تحذر : التبرعات في غير محلها وحسن الظن قد يوقعك في جريمة تمويل الإرهاب . http://t.co/yRk492eRzA"""
25.8472549401537,"""@fifthziam follow back love?"""
105.1426382667648,"""RT @chwehansoul: WHAT THE ACTIALT FUKC http://t.co/BDSZzZaYAI"""
0.0,"""20時になったとともに送るんじゃ！！！"""
0.0,"""ハロプロの℃-ute(キュート)にツイッターで解散の噂が流れました... http://t.co/K4qBZkerE2"""
0.0,"""@Brackdazy あwwwwwww"""
158.87132226734698,"""and as if YOU could talk.. 🐸☕️"""
0.0,"""RT @tv2xqjamocha: まだ東方神起コールなりやまない。みんな帰らない。 #T1ST0RYEncoreInSeoul"""
0.0,"""RT @SenyoritaVice: Wag mong piliin yung taong gusto ka lang, piliin mo yung tanggap ka kung ano ka. #SenyoritaViceHugot"""
0.0,"""@51saikoo  ありがと🙈"""
0.0,"""RT @v______v95: モゥ〜〜🐮🐄🐂🐃"""
0.0,"""@ICCHY8591 待機！"""
0.0,"""RT @ssingss: บางทีก็รู้สึกเหนื่อย"""
0.0,"""الدولة الاسلامية و ما ادراك ماالدولة الاسلامية على لسان عبدالباري عطوان  https://t.co/GxILnmhVhj  #دليل_حبي_لك"""
0.0,"""RT @Story_terror: 14年かけて一等米を作ったアイドル http://t.co/N8Z1dNhnIh"""
136.7223399999751,"""RT @DarrenaticsTO: Step through new doors. The majority of the time there's something fantastic on the other side.  DarrenEspanto Guillermo…"""
20.588515738609935,"""@sparkle_stardom Twitter Recommend!277#RayBan Sunglasses 60% Off sale! http://t.co/S5owyYbKCJ http://t.co/hiBBoADnS2"""
0.0,"""RT @phagetypet40: 幼い子供が鉄道図鑑を見て「これは何ー？」と聞いてくるので、最初は「ワイドビュー信濃」だとか「フレッシュひたち」だとかまじめに答えていたが、そのうち面倒になり「エナジーボンバー踊り子」とか「スタープラチナ練馬」などとテキトォーに答えている。多分…"""
0.0,"""RT @DawaNBisha: بإشراف غرم البيشي في #رمضان #هام ساهم #انشر #رتويت لمشروع #مثل_اجره_3 #افطار_صائم و #خير كثير #مطالبه_شعبيه_بحذف_mbc http:/…"""
0.0,"""ゆきおたくさようなら、"""
33.75283801628301,"""We got a special connection can't nobody come between!"""
75.11574874317202,"""@Sheridan24_ytfc No, no I wasn't saying that at all 😊 sure it will be, hard work always pays off eventually!x"""
0.0,"""RT @ThoseScouseLads: “@Rortiz_ESPN: Mateo Kovacic del Inter al Liverpool por 25 millones de euros” http://t.co/qAlDNq4pKZ"""
86.97580130233017,"""@Paulos_14 i feel you bro"""
0.0,"""RT @hamza_alagic: @voetbalzonenl netanyahu"""
8.610539564815227,"""Feel so peak"""
82.81335122179742,""""You were my only and every starry night." - I wouldn’t have it any other way // (via raindropsprinkles) http://t.co/8pghJCXVbw"""
0.0,"""Minha mãe >>>>>>> resto"""
0.0,"""RT @STYLATORARMY: Ok harry http://t.co/iFad5m7MZj"""
0.0,"""ca, kelas nya mau dipecah ca — iya ih benci😭 gamau pisah ih http://t.co/eI1NHqZcZU"""
0.0,"""RT @jyvitimuluc: Военные рассказали о том, что сегодня происходило в зоне боев"""
0.0,"""Bom dia, família!"""
93.3933458712006,"""@miss_petaia just spoke to Dad & he was telling me how he felt bad not recognising  you guys when you first waved lol can he not 😂 love u x"""
83.03686572057575,"""RT @payneindickass: Harry has lots of girl-friends so if you're in this fandom for a long time (enough) then you'll know Sara Sampaio and H…"""
76.71263077745604,"""RT XfactorPromos "I will Add Real Quality 7,000 Twitter Followers to your Profile for $5 http://t.co/sXcTEx2v0O http://t.co/XNeCz5WBFK""""
102.31304518257029,"""I have a rising follower graph! 21 more followers in the past week. Get your stats right here http://t.co/eEQLMpCUIS"""
0.0,"""寒いよギャグが！"""
0.0,"""c"""
0.0,"""高専はクズと天才のどっちかしかいないよ"""
0.5429925285262205,"""3rd List: Shaman Lal Waqas Ahmed M.Yousuf dars Pardeep  Mool chand RJ Dharwai Rajesh Dspnsr Depak Rathi Bebu Maheshari,"""
0.0,"""みんなでからおけいこーー"""
21.517993963745173,"""RT @camilacabeIlo97: wake up in da morning feeling like p diddy http://t.co/5C5BjO4f"""
0.0,"""@sayajiro0621  うそでしょ、、(´-ω-`) さびしくなるね笑 ありがと！！！笑"""
0.0,"""RT @ilacopperfild: Attivazione di processi comunitari all'interno di aree rurali @AgostinoRiitano a #RENAfestival con #ruralhub http://t.co…"""
0.0,"""RT @babydogBAEKHYUN: 면이시★ @E_PLE06 @xiu_cheD   @cookie_mon_s @Cheni_CJD @ksjh12 @hjkim92372 @dailylala @hyunzzing0326"""
0.0,"""RT @yoshiki1998430: @boutan77 @Kaitttz31 お前らやめてくれ  俺はがんばったんだ今日"""
0.0,"""終わったんだね…😭"""
0.0,"""@iris_wc_DN オフパコらしいお(*'-'*)"""
0.0,"""#PucukHarumNARUTO-tenten @Globaltvseru @PucukHarum #NarutoOnGlobalTV *170"""
49.0351359883526,"""Brand spanking new update of #staceyrobyn now inside her #officialwebsite   #lingerie #sexylingerie… https://t.co/pZqayp3o31"""
0.0,"""数A数1合わせて50ページ( ˘ω˘ )"""
0.0,"""@jessicalowndes WOW So cute"""
0.0,"""RT @JaDineCLAN: Let's tweet ☞ #JaDineAtGuillermoAwardsNight -JYN"""
0.0,"""@i_am_kae_ そうそう🙆  あ、さっきの さっきょうけんとた◯ねらぶでしょ？"""
0.0,"""@TKMitssp17  行く？ 多分日が変わる頃に行こうかと思ってるけど…"""
35.66014435048892,"""New #job opening at Price Industries Limited in #Winnipeg - #Industrial #engineer #jobs http://t.co/GBXQRdTHpc"""
0.0,"""どうして、この瞳を見つめてくれないの？　互い目線が　変わらない高さになっていた…　―― RainbirD #GLAY_Lyrics"""
0.0,"""กีฮยอนที่ย้ากกกก"""
0.0,"""@rabbit_Noah とりあえず機嫌を直してくれると("""
0.0,"""問題はシオンちゃん誕生日あと10日きっててなーんにも考えてない"""
0.0,"""RT @O112_O522: 엑소건들지마 건들면 http://t.co/4cniCXcrUg"""
87.37542858999664,"""I bet a lot of people are  up but not tweeting lmao"""
0.0,"""Salto https://t.co/oXXgS7dlLd"""
0.0,"""RT @MoMo_mizza: น้องๆทำพานไหว้ครู หวังว่าคงไม่มีโมเม้นต์นี้นะ http://t.co/kd9qW14MtY"""
0.0,"""クソリプ返してしまった…"""
0.0,"""RT @madaisyy__: ไ ม่ อ ย า ก เ ป็ น ค น คิ ด ม า ก"""
0.0,"""RT @NearMelL_1989: นั่งเล่นคนเดียว ปล่อยให้ฮยองพูดไป หนูมีหน้าที่เล่น น่าเอ็นดูวววววววววววววววว  >.< http://t.co/NF7wqf0Hbd"""
0.0,"""@MiriamHissel ve como eres"""
0.0,"""@SK1227__ 시ㅣㅣㅋㅏ님 역시 핵ㄱ존잘 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ아...아 넘 귀여워요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ다른분들 캐두 넘 귀여움...저 시카님 연필선 넘 조아요(바들바들"""
0.0,"""RT @SakurabaKaname: 【お知らせ・拡散希望】 http://t.co/TOxU45wmsv 「ハナノカオリ」更新しました！ #narou #narouN0742BX Fragrance 6（第6章）-キオクノカオリ- の第5話『記憶』を更新しました。是非、読み…"""
0.0,"""@makeitglow0028  よしきた"""
47.18681871878614,"""@AR1961 heehee! Naughty but very funny! Thank you. :)) xx"""
0.0,"""RT @AnndBarlow: @rosanasousa73 vamos pegar trem pra Londres pra outro show. 😣😣😣😣"""
0.0,"""「深海部部長のリコリスです」 「副部の空母水鬼でーす。で、こっちが引きこもりの離島棲鬼」 「誰が引きこもりじゃ！」"""
0.0,"""サクシードやろ．．．全くやる気でない"""
0.0,"""じゅらんもやりたい！ #RTした人に今思う素直な気持ちを伝えます"""
0.0,"""Kau ambik kisah ke pasal aku ?"""
0.0,"""RT @AureJoaquinG: Enviándoles un muy cordial saludo desde este lluvioso #Sabado desde nuestro querido #Cozumel . Que tengan #BuenFin . http…"""
0.0,"""나는 팝픈하느라 너무 강해져버렸다... 마이마이를 공격할순없으니 입문을 포기합니다"""
