"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_mit_mem.log",,,,"Date:","14 Jun 2015 03:46:13 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
2.468,0.833,95.151,1.423,0.003,0.122,197191.383,121563.185,0.0,0.0,6925.884,11668.017,587.193,726.857
52.239,7.960,38.806,0.0,0.0,0.995,0.0,32768.0,883.0,180.0,0.0,0.0,1100.0,1356.0
30.612,4.592,43.878,20.918,0.0,0.0,8982528.0,0.0,0.0,0.0,0.0,0.0,1301.0,1121.0
75.0,5.500,19.0,0.0,0.0,0.500,0.0,0.0,2163.0,1382.0,0.0,0.0,1081.0,1131.0
74.372,5.528,19.095,1.005,0.0,0.0,20480.0,0.0,943.0,1385.0,0.0,0.0,1008.0,1263.0
61.194,9.453,27.363,1.493,0.0,0.498,0.0,90112.0,256.0,1200.0,0.0,0.0,1368.0,1580.0
89.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,2437.0,3802.0,0.0,0.0,1975.0,1951.0
10.256,8.205,45.128,35.897,0.0,0.513,29974528.0,0.0,719.0,110.0,0.0,0.0,1133.0,1548.0
3.109,5.181,48.705,43.005,0.0,0.0,20840448.0,7323648.0,0.0,0.0,0.0,0.0,1374.0,1358.0
3.093,2.577,48.969,45.361,0.0,0.0,11927552.0,13893632.0,1581.0,330.0,0.0,0.0,1404.0,1174.0
1.546,3.093,48.969,46.392,0.0,0.0,12980224.0,16822272.0,527.0,110.0,0.0,0.0,1086.0,1252.0
3.571,4.082,23.469,68.878,0.0,0.0,13107200.0,13537280.0,0.0,0.0,0.0,0.0,980.0,1206.0
1.026,1.538,7.692,89.744,0.0,0.0,2863104.0,23330816.0,1581.0,394.0,0.0,0.0,938.0,1081.0
1.020,2.041,48.469,47.959,0.0,0.510,8388608.0,17154048.0,527.0,110.0,0.0,0.0,1007.0,1110.0
12.183,11.675,42.640,33.503,0.0,0.0,24797184.0,278528.0,64.0,346.0,0.0,278528.0,1238.0,1687.0
70.854,7.035,19.598,2.010,0.0,0.503,303104.0,0.0,2041.0,3904.0,0.0,0.0,1290.0,2051.0
77.387,6.533,14.573,1.508,0.0,0.0,364544.0,61440.0,3635.0,1804.0,0.0,0.0,1066.0,1613.0
77.387,5.025,12.060,4.523,0.0,1.005,831488.0,0.0,2563.0,8808.0,0.0,0.0,1289.0,1962.0
53.465,5.941,34.158,6.436,0.0,0.0,1290240.0,0.0,3501.0,10900.0,0.0,0.0,1399.0,2279.0
2.030,1.015,96.954,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,842.0,1129.0
3.046,1.523,95.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,1095.0
0.515,1.546,95.876,2.062,0.0,0.0,0.0,208896.0,1581.0,330.0,0.0,0.0,758.0,1084.0
8.955,1.493,89.055,0.498,0.0,0.0,32768.0,0.0,783.0,1598.0,0.0,0.0,887.0,1297.0
1.515,1.515,96.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,1013.0
40.404,4.545,53.535,1.010,0.0,0.505,8192.0,319488.0,8814.0,10831.0,0.0,319488.0,1415.0,2071.0
2.525,0.505,96.970,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,678.0,976.0
12.121,2.020,85.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,1311.0
13.846,1.026,80.513,4.103,0.0,0.513,32768.0,53248.0,4481.0,13902.0,0.0,0.0,1053.0,1499.0
3.553,1.015,95.431,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,823.0,1181.0
4.592,1.020,94.388,0.0,0.0,0.0,0.0,0.0,344.0,269.0,0.0,0.0,876.0,1247.0
8.543,2.010,87.437,2.010,0.0,0.0,32768.0,0.0,3362.0,2844.0,0.0,0.0,981.0,1435.0
2.564,0.513,96.923,0.0,0.0,0.0,0.0,0.0,883.0,244.0,0.0,0.0,835.0,1147.0
10.204,1.020,85.714,3.061,0.0,0.0,77824.0,53248.0,2816.0,13370.0,0.0,0.0,1014.0,1536.0
10.660,2.030,83.756,2.538,0.0,1.015,4931584.0,0.0,54956.0,3900742.0,0.0,0.0,1990.0,1576.0
19.271,2.083,76.042,1.562,0.0,1.042,2273280.0,0.0,110226.0,12066163.0,0.0,0.0,2946.0,1415.0
4.145,2.591,91.192,1.036,0.0,1.036,0.0,0.0,163170.0,10399888.0,0.0,0.0,3363.0,1144.0
8.021,1.070,90.374,0.0,0.0,0.535,0.0,0.0,208921.0,12338634.0,0.0,0.0,3952.0,1331.0
9.326,2.591,85.492,2.073,0.0,0.518,0.0,53248.0,203944.0,12336094.0,0.0,0.0,3939.0,1500.0
5.759,3.141,90.576,0.0,0.0,0.524,0.0,0.0,208950.0,12336786.0,0.0,0.0,3719.0,1335.0
4.255,1.596,93.617,0.0,0.0,0.532,0.0,0.0,171191.0,12337116.0,0.0,0.0,3305.0,1262.0
5.729,2.604,90.625,0.0,0.0,1.042,0.0,0.0,189527.0,12336896.0,0.0,0.0,3764.0,1316.0
17.989,1.587,79.365,0.0,0.0,1.058,0.0,0.0,201682.0,12336815.0,0.0,0.0,3968.0,1519.0
10.825,2.062,85.567,1.031,0.0,0.515,0.0,49152.0,116463.0,9757200.0,0.0,0.0,2771.0,1565.0
1.036,2.073,64.249,32.642,0.0,0.0,0.0,35209216.0,737.0,250.0,0.0,0.0,1239.0,1145.0
6.316,2.105,90.526,0.0,0.0,1.053,0.0,6647808.0,127227.0,10466006.0,0.0,0.0,3163.0,1317.0
4.188,2.618,92.147,0.0,0.0,1.047,0.0,0.0,166851.0,12337116.0,0.0,0.0,3534.0,1265.0
19.487,1.538,78.974,0.0,0.0,0.0,0.0,0.0,127023.0,6365573.0,0.0,0.0,2524.0,1338.0
16.244,1.523,82.234,0.0,0.0,0.0,0.0,0.0,1763.0,4612.0,0.0,0.0,805.0,1428.0
51.515,5.051,41.414,2.020,0.0,0.0,0.0,962560.0,1709.0,470.0,0.0,462848.0,816.0,1373.0
51.256,2.513,46.231,0.0,0.0,0.0,0.0,0.0,783.0,390.0,0.0,0.0,754.0,1297.0
9.137,0.508,90.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,1205.0
4.975,1.493,92.537,0.995,0.0,0.0,4096.0,0.0,2145.0,751.0,0.0,0.0,864.0,1150.0
8.205,1.538,90.256,0.0,0.0,0.0,0.0,0.0,7200.0,10192.0,0.0,0.0,1002.0,1474.0
2.030,1.015,95.431,1.523,0.0,0.0,0.0,73728.0,1852.0,4481.0,0.0,0.0,896.0,1184.0
4.082,1.020,94.898,0.0,0.0,0.0,0.0,0.0,1581.0,330.0,0.0,0.0,868.0,1258.0
3.518,0.503,95.980,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,783.0,1119.0
7.576,1.010,91.414,0.0,0.0,0.0,0.0,0.0,5148.0,6172.0,0.0,0.0,880.0,1329.0
4.569,1.015,94.416,0.0,0.0,0.0,0.0,0.0,4882.0,8749.0,0.0,0.0,818.0,1346.0
21.026,1.026,76.410,1.538,0.0,0.0,0.0,65536.0,667.0,180.0,0.0,0.0,1030.0,1295.0
3.0,2.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,1178.0
4.500,2.0,93.500,0.0,0.0,0.0,0.0,0.0,1581.0,330.0,0.0,0.0,854.0,1216.0
1.523,1.015,97.462,0.0,0.0,0.0,0.0,0.0,883.0,180.0,0.0,0.0,781.0,1122.0
6.122,1.020,92.347,0.0,0.0,0.510,0.0,0.0,2451.0,4831.0,0.0,0.0,889.0,1440.0
3.030,0.505,94.949,1.515,0.0,0.0,0.0,53248.0,1581.0,330.0,0.0,0.0,861.0,1181.0
4.082,0.510,95.408,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,793.0,1176.0
2.020,1.010,96.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,1106.0
7.692,1.026,91.282,0.0,0.0,0.0,0.0,0.0,8581.0,10986.0,0.0,0.0,1026.0,1593.0
4.040,1.010,94.444,0.0,0.0,0.505,0.0,0.0,2034.0,3878.0,0.0,0.0,856.0,1346.0
9.453,1.493,89.055,0.0,0.0,0.0,0.0,0.0,7000.0,10658.0,0.0,0.0,935.0,1554.0
3.061,1.531,94.898,0.510,0.0,0.0,0.0,49152.0,1581.0,330.0,0.0,0.0,863.0,1191.0
8.543,1.005,88.442,2.010,0.0,0.0,16384.0,0.0,1198.0,635.0,0.0,0.0,928.0,1348.0
7.538,5.025,87.437,0.0,0.0,0.0,102400.0,0.0,945.0,2985.0,0.0,0.0,1002.0,1196.0
4.124,2.062,93.814,0.0,0.0,0.0,0.0,0.0,3798.0,4721.0,0.0,0.0,1032.0,1455.0
62.944,5.076,29.442,2.538,0.0,0.0,147456.0,69632.0,238641.0,147673.0,0.0,0.0,2091.0,3545.0
49.239,8.122,39.594,2.538,0.0,0.508,110592.0,90112.0,91887.0,47566.0,0.0,0.0,2200.0,2276.0
20.707,1.010,77.778,0.505,0.0,0.0,16384.0,0.0,15753.0,66213.0,0.0,0.0,1337.0,2093.0
4.061,1.523,93.401,1.015,0.0,0.0,32768.0,0.0,1560.0,782.0,0.0,0.0,914.0,1244.0
6.599,1.523,91.371,0.0,0.0,0.508,0.0,0.0,1717.0,4296.0,0.0,0.0,964.0,1444.0
42.132,1.015,56.853,0.0,0.0,0.0,0.0,159744.0,1581.0,330.0,0.0,0.0,903.0,1298.0
7.732,0.515,90.206,1.546,0.0,0.0,0.0,86016.0,7527.0,12165.0,0.0,0.0,932.0,1493.0
6.566,2.525,88.384,2.020,0.0,0.505,36864.0,0.0,5745.0,3431.0,0.0,0.0,888.0,1379.0
5.556,1.515,92.929,0.0,0.0,0.0,0.0,0.0,8241.0,3940.0,0.0,0.0,914.0,1287.0
10.606,1.515,87.879,0.0,0.0,0.0,4096.0,0.0,13731.0,16513.0,0.0,0.0,989.0,1572.0
4.124,1.031,94.845,0.0,0.0,0.0,0.0,303104.0,7496.0,73232.0,0.0,0.0,1004.0,1319.0
5.076,1.523,93.401,0.0,0.0,0.0,0.0,0.0,5577.0,2496.0,0.0,0.0,1011.0,1371.0
3.093,1.031,94.845,1.031,0.0,0.0,0.0,81920.0,5861.0,3004.0,0.0,0.0,981.0,1317.0
